Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744798409492,42113.03778076172,2133.333333333333,2,0.9625,22739.436782836914,3200,1,0.9625,23015.113555908203,2133.333333333333,2,0.9625,23023.64971923828,2133.333333333333,2,0.9625,40818.23614501953,2200,2,0.9625,25511.375213623047,2200,2,0.9625,25479.389877319336,2200,2,0.9625,24938.47491455078,2200,2,0.9625,63380.37243652344,2156,4313,2158,2158,2190,2195,2195,2190,2155,2158,2195,2188,2194,2195,2158,4309,0,3.3333334922790527,10,3.3333334922790527,6.25,6.45161247253418,6.45161247253418,3.3333334922790527,6.45161247253418,6.45161247253418,6.45161247253418,13.333333969116211,3.4482758045196533,6.45161247253418,3.3333334922790527,6.6666669845581055,16666599424,4294963200,2391584768,716701696
999,1744798409492,42113.038482666016,2133.333333333333,2,0.9625,22739.439056396484,3200,1,0.9625,23015.113800048828,2133.333333333333,2,0.9625,23023.654174804688,2133.333333333333,2,0.9625,40818.23979187012,2200,2,0.9625,25511.37905883789,2200,2,0.9625,25479.39161682129,2200,2,0.9625,24938.475982666016,2200,2,0.9625,63380.41221618652,2156,4313,2158,2158,2190,2195,2195,2190,2155,2158,2195,2188,2194,2195,2158,4309,0,3.3333334922790527,10,3.3333334922790527,6.25,6.45161247253418,6.45161247253418,3.3333334922790527,6.45161247253418,6.45161247253418,6.45161247253418,13.333333969116211,3.4482758045196533,6.45161247253418,3.3333334922790527,6.6666669845581055,16666599424,4294963200,2392096768,716701696
999,1744798410492,42113.05506896973,2200,2,0.85,22739.464553833008,2200,2,0.85,23015.11602783203,2200,2,0.85,23023.659774780273,2200,2,0.85,40818.333572387695,2200,2,0.85,25511.70555114746,2200,2,0.85,25479.683471679688,2200,2,0.85,24938.73846435547,2200,2,0.85,63389.814208984375,2156,4313,2158,2158,2190,2195,2195,2190,2155,2158,2195,2188,2194,2195,2158,4309,0,0,0,0,0,0,2,0,0,0,1,3.9603960514068604,0,0,0,0,16666599424,4294963200,2392715264,716701696
999,1744798411492,42113.09727478027,2000,2,0.9875,22739.871475219727,3000,2,0.9875,23015.127899169922,2000,2,0.9875,23023.700790405273,2000,2,0.9875,40818.56677246094,2200,2,0.9875,25512.254348754883,2200,2,0.9875,25480.191955566406,2200,2,0.9875,24939.199783325195,2200,2,0.9875,63401.104751586914,2156,4313,2158,2158,2190,2195,2195,2190,2155,2158,2195,2188,2194,2195,2158,4309,0,0,0,0.9900990128517151,1,0.9900990128517151,2,0,0,0.9900990128517151,1.0101009607315063,4.040403842926025,0,0,0,4.95049524307251,16666599424,4294963200,2391756800,716701696
999,1744798412492,42113.11875915527,2000,2,0.925,22739.92315673828,3000,2,0.925,23015.139389038086,2000,2,0.925,23023.71923828125,2000,2,0.925,40818.67269897461,2200,2,0.925,25512.767166137695,2200,2,0.925,25480.68113708496,2200,2,0.925,24939.669952392578,2200,2,0.925,63411.51690673828,2156,4313,2158,2158,2190,2195,2195,2190,2155,2158,2195,2188,2194,2195,2158,4309,0,0,0,0,0,0,2,0,0,0,1.9801980257034302,4,0,0,0,0,16666599424,4294963200,2391273472,716701696
999,1744798413493,42113.14598083496,2162.5,2,1.46875,22739.987747192383,3000,2,1.46875,23015.150451660156,2000,2,1.46875,23023.739212036133,2000,2,1.46875,40818.71618652344,2200,2,1.46875,25513.295211791992,2200,2,1.46875,25481.181121826172,2200,2,1.46875,24940.182678222656,2200,2,1.46875,63422.10191345215,2156,4313,2158,2158,2190,2195,2195,2190,2155,2158,2195,2188,2194,2195,2158,4309,0,0,0,0,0,1,2,1,0,0,0,4.95049524307251,0,1,0,0,16666599424,4294963200,2390978560,716701696
999,1744798414493,42113.171630859375,2000,2,0.925,22740.042846679688,3000,2,0.925,23015.160903930664,2000,2,0.925,23023.751098632813,2000,2,0.925,40818.7654876709,2200,2,0.925,25513.805084228516,2200,2,0.925,25481.669647216797,2200,2,0.925,24940.68556213379,2200,2,0.925,63432.468826293945,2156,4313,2158,2158,2190,2195,2195,2190,2155,2158,2195,2188,2194,2195,2158,4309,0,0,0,0,1.9607844352722168,0.9900990128517151,2,1.0101009607315063,0,0,0,4,0,0.9900990128517151,0,0,16666599424,4294963200,2390978560,716701696
999,1744798415493,42113.201919555664,2000,2,0.925,22740.103973388672,3000,2,0.925,23015.170974731445,2162.5,2,0.925,23023.76089477539,2162.5,2,0.925,40818.819412231445,2200,2,0.925,25514.345001220703,2200,2,0.925,25482.17234802246,2200,2,0.925,24941.197387695313,2200,2,0.925,63442.942947387695,2156,4313,2158,2158,2190,2195,2195,2190,2155,2158,2195,2188,2194,2195,2158,4309,0.9900990128517151,0.9900990128517151,0,0,0,0,1.0101009607315063,1,0,0,0,3.0303030014038086,0,0,0,0,16666599424,4294963200,2389307392,716701696
999,1744798416493,42113.23669433594,2000,2,0.91875,22740.16357421875,2000,2,0.91875,23015.184646606445,2000,2,0.91875,23023.771682739258,3000,2,0.91875,40818.891525268555,2200,2,0.91875,25514.869995117188,2200,2,0.91875,25482.67709350586,2200,2,0.91875,24941.699279785156,2200,2,0.9125,63453.46646118164,2156,4313,2158,2158,2190,2195,2195,2190,2155,2158,2195,2188,2194,2195,2158,4309,0,0,0,0,0,1,1.0101009607315063,1.9801980257034302,0,0,0,4,0,0,0,0,16666599424,4294963200,2389307392,716701696
999,1744798417493,42113.250915527344,2000,2,0.9125,22740.193237304688,2000,2,0.9125,23015.18603515625,2000,2,0.9125,23023.772827148438,3000,2,0.9125,40818.93507385254,2200,2,0.9125,25515.22979736328,2200,2,0.9125,25482.99754333496,2200,2,0.9125,24942.006240844727,2200,2,0.9125,63462.916076660156,2156,4313,2158,2158,2190,2195,2195,2190,2155,2158,2195,2188,2194,2195,2158,4309,0,0,0,0,0,0.9900990128517151,2.97029709815979,0,0,0,0,4,0,0,0,1,16666599424,4294963200,2387849216,716701696
999,1744798418493,42113.28416442871,2000,2,0.9375,22740.25193786621,3000,2,0.9375,23015.231567382813,2000,2,0.9375,23023.780639648438,2000,2,0.9375,40818.99954223633,2200,2,0.9375,25515.74479675293,2200,2,0.925,25483.422912597656,2200,2,0.925,24942.49578857422,2200,2,0.925,63473.49766540527,2156,4313,2158,2158,2190,2195,2195,2190,2155,2158,2195,2188,2194,2195,2158,4309,0,0,0,0,0,0,1.0101009607315063,1.9801980257034302,0.9900990128517151,0,1,4.040403842926025,0,0,0,0,16666599424,4294963200,2387849216,716701696
