Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744797468945,40176.201736450195,2200,2,0.84375,22039.654510498047,2200,2,0.84375,22269.50309753418,2200,2,0.84375,21871.278610229492,2200,2,0.84375,38828.45065307617,2200,2,0.84375,24546.32305908203,2200,2,0.84375,24669.484375,2200,2,0.84375,23917.13343811035,2200,2,0.84375,43616.01054382324,2200,3862,2200,2194,2195,2191,2132,2200,2170,2200,2194,2195,2200,2195,1941,3152,3.125,3.125,6.25,6.25,3.125,6.25,3.125,6.060606002807617,9.67741870880127,0,6.060606002807617,6.25,6.25,12.121212005615234,12.121212005615234,6.060606002807617,16666599424,4294963200,2620366848,717488128
999,1744797468945,40176.20210266113,2200,2,0.84375,22039.65478515625,2200,2,0.84375,22269.506286621094,2200,2,0.84375,21871.279083251953,2200,2,0.84375,38828.450775146484,2200,2,0.84375,24546.323318481445,2200,2,0.84375,24669.484497070313,2200,2,0.84375,23917.13673400879,2200,2,0.84375,43616.038162231445,2200,3862,2200,2194,2195,2191,2132,2200,2170,2200,2194,2195,2200,2195,1941,3152,3.125,3.125,6.25,6.25,3.125,6.25,3.125,6.060606002807617,9.67741870880127,0,6.060606002807617,6.25,6.25,12.121212005615234,12.121212005615234,6.060606002807617,16666599424,4294963200,2620366848,717488128
999,1744797469945,40176.23191833496,2000,2,0.8875,22039.740005493164,3000,2,0.8875,22269.79148864746,2000,2,0.96875,21871.28941345215,2000,2,0.96875,38828.45455932617,2200,2,0.96875,24546.364959716797,2200,2,0.96875,24669.494338989258,2200,2,0.96875,23917.21224975586,2200,2,0.96875,43625.11569213867,2200,3862,2200,2194,2195,2191,2132,2200,2170,2200,2194,2195,2200,2195,1941,3152,0,1,5.94059419631958,0,0,0,0,0,1.9801980257034302,0,0,0,0,1,0,2.97029709815979,16666599424,4294963200,2618933248,717488128
999,1744797470946,40176.25988769531,2200,2,0.85,22039.829483032227,2200,2,0.85,22270.097579956055,2200,2,0.85,21871.304946899414,2200,2,0.85,38828.45851135254,2200,2,0.85,24546.397537231445,2200,2,0.85,24669.5087890625,2200,2,0.85,23917.23895263672,2200,2,0.85,43634.13781738281,2200,3862,2200,2194,2195,2191,2132,2200,2170,2200,2194,2195,2200,2195,1941,3152,0,0,4.040403842926025,0,0,1,0,0,0,1,0,0,0,1.9801980257034302,0,3,16666599424,4294963200,2617487360,717488128
999,1744797471946,40176.350524902344,2200,2,0.85,22040.018432617188,2200,2,0.85,22270.277709960938,2200,2,0.85,21871.45541381836,2200,2,0.85,38828.475646972656,2200,2,0.85,24547.101623535156,2200,2,0.85,24669.569427490234,2200,2,0.85,23917.287628173828,2200,2,0.85,43644.637939453125,2200,3862,2200,2194,2195,2191,2132,2200,2170,2200,2194,2195,2200,2195,1941,3152,1,1.9801980257034302,2,4,0,5,0.9900990128517151,0,1.9801980257034302,0,0,0,0,1,0,1.0204081535339355,16666599424,4294963200,2615590912,717488128
999,1744797472946,40176.75018310547,2133.333333333333,2,0.96875,22040.60316467285,3200,1,0.96875,22270.673263549805,2133.333333333333,2,0.96875,21871.933486938477,2133.333333333333,2,0.96875,38828.671447753906,2200,2,0.96875,24547.284866333008,2200,2,0.96875,24669.829620361328,2200,2,0.96875,23917.582626342773,2200,2,0.96875,43656.559509277344,2200,3862,2200,2194,2195,2191,2132,2200,2170,2200,2194,2195,2200,2195,1941,3152,4.123711109161377,4.081632614135742,3.0612244606018066,6,2,1.0101009607315063,1,1.0101009607315063,1.0204081535339355,2.97029709815979,0,0,1.0101009607315063,3,0,3.0303030014038086,16666599424,4294963200,2610884608,717488128
999,1744797473946,40177.18272399902,2850,2,0.93125,22040.800872802734,4275,0,0.93125,22271.43081665039,2137.5,2,0.93125,21872.76856994629,2137.5,2,0.93125,38829.11657714844,2200,2,0.93125,24547.39680480957,2200,2,0.93125,24670.00311279297,2200,2,0.93125,23918.60939025879,2200,2,1.4312500000000001,43670.408599853516,2200,3862,2200,2194,2195,2191,2132,2200,2170,2200,2194,2195,2200,2195,1941,3152,3.0303030014038086,0,9.90099048614502,4.040403842926025,3.9603960514068604,2,0,1.0101009607315063,6.060606002807617,9.090909004211426,2,0.9900990128517151,2.97029709815979,11.224489212036133,0,2.0202019214630127,16666599424,4294963200,2615316480,717488128
999,1744797474946,40178.285720825195,2133.333333333333,2,1.4125,22041.756149291992,3200,1,1.4125,22272.93295288086,2133.333333333333,2,1.4125,21874.65707397461,2133.333333333333,2,1.4125,38829.944091796875,2133.333333333333,2,1.4125,24548.513763427734,2133.333333333333,2,1.4125,24670.96873474121,2133.333333333333,2,1.4125,23923.919692993164,3200,1,1.4125,43695.17909240723,2200,3862,2200,2194,2195,2191,2132,2200,2170,2200,2194,2195,2200,2195,1941,3152,6.060606002807617,3,11.111111640930176,4,2.0202019214630127,8.163265228271484,5,4.040403842926025,6.060606002807617,16,3.0303030014038086,2.0202019214630127,3.0303030014038086,44.5544548034668,4.040403842926025,2.0618555545806885,16666599424,4294963200,2643521536,717488128
999,1744797475946,40178.76527404785,2150,2,1.45,22042.88702392578,4300,0,1.45,22273.768432617188,2150,2,1.45,21875.314498901367,2150,2,1.45,38830.38327026367,2200,2,1.45,24549.258255004883,2200,2,1.45,24671.701721191406,2200,2,1.45,23925.924697875977,2200,2,1.45,43713.571716308594,2200,3862,2200,2194,2195,2191,2132,2200,2170,2200,2194,2195,2200,2195,1941,3152,0,9.090909004211426,6.315789222717285,3.125,1.0101009607315063,2.97029709815979,3,2.97029709815979,2,0,1.9801980257034302,2.040816307067871,0,17.171716690063477,2,5.0505051612854,16666599424,4294963200,2640539648,717488128
999,1744797476946,40178.987213134766,2000,2,0.9625,22043.494384765625,3000,2,0.9625,22274.41143798828,2000,2,0.9625,21875.567825317383,2000,2,0.9625,38830.529525756836,2200,2,0.9625,24549.774993896484,2200,2,0.9625,24672.27586364746,2200,2,0.9625,23926.682678222656,2200,2,0.9625,43727.461166381836,2200,3862,2200,2194,2195,2191,2132,2200,2170,2200,2194,2195,2200,2195,1941,3152,3,4,6.122448921203613,2,1,1,2.040816307067871,1.0101009607315063,0,1,0,3.9603960514068604,1.9801980257034302,9.090909004211426,0,1.0204081535339355,16666599424,4294963200,2633478144,717488128
