Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745245799964,10874.275497436523,2133.333333333333,2,0.93125,5085.631088256836,3200,1,0.93125,5246.568099975586,2133.333333333333,2,0.93125,5007.766403198242,2133.333333333333,2,0.93125,14721.673431396484,4150,0,0.93125,3989.2969970703125,2075,2,1.4312500000000001,3666.2843627929688,2075,2,1.4312500000000001,5053.247451782227,2075,2,1.4312500000000001,34952.87773132324,2129,3193,2126,2128,4191,2095,2115,2120,2129,2129,4164,2095,2116,2095,2128,3183,0,5.882352828979492,0,3.0303030014038086,3.125,3.0303030014038086,3.0303030014038086,0,11.764705657958984,3.0303030014038086,0,0,3.0303030014038086,3.0303030014038086,3.0303030014038086,5.882352828979492,16665837568,4294963200,1145573376,0
1000,1745245799964,10874.276626586914,2133.333333333333,2,1.3875,5085.631622314453,3200,1,1.3875,5246.578689575195,2133.333333333333,2,1.3875,5007.768463134766,2133.333333333333,2,1.3875,14721.680694580078,4150,0,1.3875,3989.2977294921875,2075,2,1.39375,3666.2850799560547,2075,2,1.39375,5053.253814697266,2075,2,1.39375,34952.92741394043,2129,3193,2126,2128,4191,2095,2115,2120,2129,2129,4164,2095,2116,2095,2128,3183,0,5.882352828979492,0,3.0303030014038086,3.125,3.0303030014038086,3.0303030014038086,0,11.764705657958984,3.0303030014038086,0,0,3.0303030014038086,3.0303030014038086,3.0303030014038086,5.882352828979492,16665837568,4294963200,1145573376,0
1000,1745245800965,10874.28384399414,2133.333333333333,2,0.9,5085.640243530273,3200,1,0.9,5246.605484008789,2133.333333333333,2,0.9,5007.780410766602,2000,2,0.9,14721.713607788086,3000,2,1.4937500000000001,3989.315704345703,2000,2,1.4937500000000001,3666.2930297851563,2000,2,1.4937500000000001,5053.264343261719,2000,2,1.4937500000000001,34959.2684173584,2129,3193,2126,2128,4191,2095,2115,2120,2129,2129,4164,2095,2116,2095,2128,3183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665837568,4294963200,1145573376,0
1000,1745245801965,10874.292724609375,2000,2,1.51875,5085.67448425293,3000,2,1.51875,5246.6314697265625,2000,2,1.51875,5007.789459228516,2000,2,1.51875,14721.719177246094,3000,2,1.51875,3989.320770263672,2000,2,1.51875,3666.3143005371094,2000,2,1.11875,5053.268020629883,2000,2,1.11875,34965.57009887695,2129,3193,2126,2128,4191,2095,2115,2120,2129,2129,4164,2095,2116,2095,2128,3183,0,0,0,0,0.9900990128517151,0,0,0,0.9900990128517151,0,0,0,0,0,0,0,16665837568,4294963200,1145720832,0
1000,1745245802966,10874.295822143555,2133.333333333333,2,0.9,5085.677429199219,3000,2,1.4937500000000001,5246.646347045898,2000,2,1.4937500000000001,5007.792190551758,2000,2,1.4937500000000001,14721.721954345703,3000,2,1.4937500000000001,3989.324264526367,2000,2,1.4937500000000001,3666.3199615478516,2000,2,1.4937500000000001,5053.270904541016,2000,2,1.4937500000000001,34971.66192626953,2129,3193,2126,2128,4191,2095,2115,2120,2129,2129,4164,2095,2116,2095,2128,3183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665837568,4294963200,1145720832,0
1000,1745245803966,10874.29948425293,2125,2,0.93125,5085.680694580078,4250,0,0.93125,5246.653579711914,2125,2,0.93125,5007.796096801758,2125,2,0.93125,14721.732315063477,4250,0,0.93125,3989.329849243164,2125,2,0.93125,3666.330596923828,2125,2,0.93125,5053.2730712890625,2125,2,0.93125,34977.78479003906,2129,3193,2126,2128,4191,2095,2115,2120,2129,2129,4164,2095,2116,2095,2128,3183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665837568,4294963200,1143402496,0
1000,1745245804967,10874.313552856445,2200,2,0.91875,5085.702789306641,2200,2,1.5375,5246.6591796875,2200,2,1.5375,5007.802291870117,2200,2,1.5375,14721.746154785156,3000,2,1.5375,3989.335968017578,2000,2,1.5375,3666.33642578125,2000,2,1.5375,5053.281646728516,2000,2,1.5375,34983.93290710449,2129,3193,2126,2128,4191,2095,2115,2120,2129,2129,4164,2095,2116,2095,2128,3183,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665837568,4294963200,1141071872,0
1000,1745245805967,10874.320007324219,2133.333333333333,2,0.93125,5085.705429077148,3200,1,0.93125,5246.66455078125,2133.333333333333,2,0.93125,5007.8046875,2133.333333333333,2,0.93125,14721.748764038086,4250,0,0.93125,3989.3384857177734,1500,2,0.93125,3666.338119506836,2000,2,1.50625,5053.283462524414,2000,2,1.50625,34990.0378112793,2129,3193,2126,2128,4191,2095,2115,2120,2129,2129,4164,2095,2116,2095,2128,3183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665837568,4294963200,1140781056,0
1000,1745245806968,10874.328598022461,2200,2,1.54375,5085.720016479492,2200,2,1.54375,5246.6690673828125,2200,2,1.54375,5007.811477661133,2200,2,1.54375,14721.762008666992,3000,2,1.54375,3989.3411254882813,2000,2,1.54375,3666.345901489258,2000,2,1.54375,5053.289138793945,2000,2,1.54375,34996.181701660156,2129,3193,2126,2128,4191,2095,2115,2120,2129,2129,4164,2095,2116,2095,2128,3183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665837568,4294963200,1140133888,0
1000,1745245807968,10874.331954956055,2133.333333333333,2,0.90625,5085.729827880859,3200,1,0.90625,5246.675048828125,2133.333333333333,2,0.90625,5007.816162109375,2133.333333333333,2,0.90625,14721.767883300781,4275,0,0.90625,3989.3487243652344,2137.5,2,0.90625,3666.353561401367,2137.5,2,0.90625,5053.2955322265625,2137.5,2,0.90625,35002.345611572266,2129,3193,2126,2128,4191,2095,2115,2120,2129,2129,4164,2095,2116,2095,2128,3183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665837568,4294963200,1138094080,0
