Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745252646020,25183.874313354492,2133.333333333333,2,0.96875,14884.12483215332,3200,1,0.96875,11891.449081420898,2133.333333333333,2,0.96875,9459.873519897461,2133.333333333333,2,0.96875,28133.77391052246,2200,2,0.96875,14099.348175048828,2200,2,0.9625,11555.86019897461,2200,2,0.9625,12116.58609008789,2200,2,0.9625,41242.327407836914,2128,1928,3190,2122,2130,1965,2195,2158,2830,1826,2130,1894,2126,3132,1966,3193,7.142857551574707,0,3.3333334922790527,3.4482758045196533,0,3.4482758045196533,3.4482758045196533,3.3333334922790527,3.4482758045196533,3.3333334922790527,3.3333334922790527,0,0,0,0,0,16665837568,4294963200,1181978624,0
1000,1745252646020,25183.878677368164,2133.333333333333,2,0.9625,14884.125595092773,3200,1,0.9625,11891.449264526367,2133.333333333333,2,0.9625,9459.873672485352,2133.333333333333,2,0.9625,28133.77407836914,2200,2,0.9625,14099.348327636719,2200,2,0.9625,11555.863052368164,2200,2,0.9625,12116.588394165039,2200,2,0.9625,41242.354904174805,2128,1928,3190,2122,2130,1965,2195,2158,2830,1826,2130,1894,2126,3132,1966,3193,7.142857551574707,0,3.3333334922790527,3.4482758045196533,0,3.4482758045196533,3.4482758045196533,3.3333334922790527,3.4482758045196533,3.3333334922790527,3.3333334922790527,0,0,0,0,0,16665837568,4294963200,1181978624,0
1000,1745252647021,25183.889724731445,2000,2,1.4875,14884.129852294922,3000,2,1.4875,11891.451675415039,2000,2,1.4875,9459.8759765625,2000,2,1.4875,28133.776260375977,2200,2,1.4875,14099.349853515625,2200,2,1.4875,11555.867553710938,2200,2,1.4875,12116.603729248047,2200,2,1.4875,41248.56074523926,2128,1928,3190,2122,2130,1965,2195,2158,2830,1826,2130,1894,2126,3132,1966,3193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665837568,4294963200,1181978624,0
1000,1745252648021,25183.904678344727,2175,2,0.8875,14884.134338378906,4350,0,0.8875,11891.456954956055,2175,2,1.53125,9459.881774902344,2175,2,1.53125,28133.78106689453,2200,2,1.53125,14099.354385375977,2200,2,1.53125,11555.874740600586,2200,2,1.53125,12116.60693359375,2200,2,1.53125,41254.68437194824,2128,1928,3190,2122,2130,1965,2195,2158,2830,1826,2130,1894,2126,3132,1966,3193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665837568,4294963200,1181716480,0
1000,1745252649022,25183.908950805664,2133.333333333333,2,0.9625,14884.149765014648,3200,1,0.9625,11891.462356567383,2133.333333333333,2,0.9625,9459.887496948242,2133.333333333333,2,0.9625,28133.785919189453,2200,2,0.9625,14099.358917236328,2200,2,0.9625,11555.879425048828,2200,2,0.9625,12116.611236572266,2200,2,0.9625,41260.833572387695,2128,1928,3190,2122,2130,1965,2195,2158,2830,1826,2130,1894,2126,3132,1966,3193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665837568,4294963200,1180979200,0
1000,1745252650022,25183.91114807129,2133.333333333333,2,0.9,14884.156723022461,3200,1,0.9,11891.464935302734,2133.333333333333,2,0.9,9459.890014648438,2133.333333333333,2,0.9,28133.788940429688,2200,2,0.9,14099.361602783203,2200,2,0.9,11555.881927490234,2200,2,0.9625,12116.614135742188,2200,2,0.9625,41266.9052734375,2128,1928,3190,2122,2130,1965,2195,2158,2830,1826,2130,1894,2126,3132,1966,3193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665837568,4294963200,1178316800,0
1000,1745252651023,25183.913818359375,2175,2,0.89375,14884.166580200195,4350,0,0.89375,11891.467788696289,2175,2,0.89375,9459.892349243164,2175,2,0.89375,28133.791717529297,2200,2,0.89375,14099.366119384766,2200,2,0.89375,11555.885696411133,2200,2,0.89375,12116.616348266602,2200,2,0.89375,41272.98323059082,2128,1928,3190,2122,2130,1965,2195,2158,2830,1826,2130,1894,2126,3132,1966,3193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665837568,4294963200,1177464832,0
1000,1745252652023,25183.92024230957,2175,2,0.91875,14884.198760986328,4350,0,0.91875,11891.480407714844,2175,2,0.91875,9459.90249633789,2175,2,0.91875,28133.806838989258,2200,2,0.91875,14099.373458862305,2200,2,0.91875,11555.897857666016,2200,2,1.5125,12116.628982543945,2200,2,1.5125,41279.2947845459,2128,1928,3190,2122,2130,1965,2195,2158,2830,1826,2130,1894,2126,3132,1966,3193,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665837568,4294963200,1175134208,0
1000,1745252653024,25183.925659179688,2175,2,0.8875,14884.21614074707,4350,0,0.8875,11891.485610961914,2175,2,0.8875,9459.90803527832,2175,2,0.8875,28133.81349182129,2200,2,0.8875,14099.378311157227,2200,2,0.8875,11555.902893066406,2200,2,0.8875,12116.633758544922,2200,2,0.8875,41285.48190307617,2128,1928,3190,2122,2130,1965,2195,2158,2830,1826,2130,1894,2126,3132,1966,3193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665837568,4294963200,1174810624,0
1000,1745252654024,25183.928665161133,2175,2,0.91875,14884.234024047852,4350,0,0.91875,11891.490310668945,2175,2,0.91875,9459.911590576172,2175,2,0.91875,28133.816772460938,2200,2,0.91875,14099.380828857422,2200,2,0.91875,11555.906463623047,2200,2,0.91875,12116.636367797852,2200,2,0.91875,41291.526779174805,2128,1928,3190,2122,2130,1965,2195,2158,2830,1826,2130,1894,2126,3132,1966,3193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665837568,4294963200,1172774912,0
