Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745249170453,16762.819763183594,2200,2,0.85,9782.29800415039,2200,2,0.85,7337.042251586914,2200,2,0.85,7107.345977783203,2200,2,0.85,22038.120407104492,2200,2,0.85,8778.064498901367,2200,2,0.85,8707.279205322266,2200,2,0.85,9365.292938232422,2200,2,0.85,37004.833587646484,2128,3193,2128,2128,2129,2058,2160,2195,2128,2068,2195,1947,2193,2195,2126,3119,6.25,0,10,0,3.22580623626709,3.125,0,0,3.22580623626709,0,3.3333334922790527,3.22580623626709,3.125,3.22580623626709,0,0,16665837568,4294963200,1147486208,0
1000,1745249170453,16762.820037841797,2200,2,0.84375,9782.299606323242,2200,2,0.84375,7337.0423583984375,2200,2,0.84375,7107.346084594727,2200,2,0.84375,22038.120513916016,2200,2,0.84375,8778.06640625,2200,2,0.84375,8707.279388427734,2200,2,0.85,9365.295028686523,2200,2,0.85,37004.858154296875,2128,3193,2128,2128,2129,2058,2160,2195,2128,2068,2195,1947,2193,2195,2126,3119,6.25,0,10,0,3.22580623626709,3.125,0,0,3.22580623626709,0,3.3333334922790527,3.22580623626709,3.125,3.22580623626709,0,0,16665837568,4294963200,1147486208,0
1000,1745249171453,16762.823699951172,2133.333333333333,2,0.9625,9782.307418823242,3200,1,0.9625,7337.044876098633,2133.333333333333,2,0.9625,7107.348281860352,2133.333333333333,2,0.9625,22038.12353515625,2200,2,0.9625,8778.070602416992,2200,2,0.9625,8707.282012939453,2200,2,0.9625,9365.298248291016,2200,2,0.9625,37010.94528198242,2128,3193,2128,2128,2129,2058,2160,2195,2128,2068,2195,1947,2193,2195,2126,3119,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665837568,4294963200,1148174336,0
1000,1745249172454,16762.826858520508,2200,2,0.8375,9782.316116333008,2200,2,0.85,7337.049179077148,2200,2,0.85,7107.3502197265625,2200,2,0.85,22038.12712097168,2200,2,0.85,8778.074096679688,2200,2,0.85,8707.286010742188,2200,2,0.85,9365.303115844727,2200,2,0.85,37017.058822631836,2128,3193,2128,2128,2129,2058,2160,2195,2128,2068,2195,1947,2193,2195,2126,3119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665837568,4294963200,1148137472,0
1000,1745249173454,16762.832901000977,2133.333333333333,2,0.91875,9782.319625854492,3200,1,0.91875,7337.052291870117,2133.333333333333,2,0.91875,7107.353164672852,2133.333333333333,2,0.91875,22038.13023376465,2200,2,0.91875,8778.076782226563,2200,2,0.94375,8707.28874206543,2200,2,0.94375,9365.305725097656,2200,2,0.94375,37023.19200134277,2128,3193,2128,2128,2129,2058,2160,2195,2128,2068,2195,1947,2193,2195,2126,3119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665837568,4294963200,1145290752,0
1000,1745249174455,16762.845092773438,2175,2,1.4875,9782.32258605957,4350,0,1.4875,7337.054718017578,2175,2,1.4875,7107.355239868164,2175,2,1.4875,22038.132843017578,2200,2,1.4875,8778.07943725586,2200,2,1.4875,8707.294403076172,2200,2,1.4875,9365.308181762695,2200,2,1.4875,37029.28643798828,2128,3193,2128,2128,2129,2058,2160,2195,2128,2068,2195,1947,2193,2195,2126,3119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665837568,4294963200,1145290752,0
1000,1745249175455,16762.852584838867,2175,2,0.8875,9782.32893371582,4350,0,0.8875,7337.059829711914,2175,2,0.8875,7107.358322143555,2175,2,0.8875,22038.136627197266,2200,2,0.8875,8778.08154296875,2200,2,0.8875,8707.297088623047,2200,2,0.8875,9365.310150146484,2200,2,0.8875,37035.299392700195,2128,3193,2128,2128,2129,2058,2160,2195,2128,2068,2195,1947,2193,2195,2126,3119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665837568,4294963200,1144483840,0
1000,1745249176456,16762.859268188477,2175,2,0.91875,9782.354187011719,4350,0,0.91875,7337.068878173828,2175,2,0.91875,7107.361679077148,2175,2,0.91875,22038.142028808594,2200,2,0.91875,8778.088119506836,2200,2,0.91875,8707.303939819336,2200,2,1.475,9365.314468383789,2200,2,1.475,37041.52072143555,2128,3193,2128,2128,2129,2058,2160,2195,2128,2068,2195,1947,2193,2195,2126,3119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665837568,4294963200,1141702656,0
1000,1745249177456,16762.86505126953,2175,2,0.8875,9782.368209838867,4350,0,0.8875,7337.073059082031,2175,2,0.8875,7107.3671875,2175,2,0.8875,22038.147048950195,2200,2,0.8875,8778.092758178711,2200,2,0.8875,8707.308654785156,2200,2,0.8875,9365.318008422852,2200,2,0.8875,37047.72213745117,2128,3193,2128,2128,2129,2058,2160,2195,2128,2068,2195,1947,2193,2195,2126,3119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665837568,4294963200,1139830784,0
1000,1745249178457,16762.868606567383,2133.333333333333,2,0.95625,9782.385452270508,3200,1,0.95625,7337.076919555664,2133.333333333333,2,0.95625,7107.369781494141,2133.333333333333,2,0.95625,22038.15086364746,2200,2,0.95625,8778.096237182617,2200,2,0.95625,8707.310989379883,2200,2,0.95625,9365.320739746094,2200,2,0.95625,37053.76332092285,2128,3193,2128,2128,2129,2058,2160,2195,2128,2068,2195,1947,2193,2195,2126,3119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665837568,4294963200,1138941952,0
