Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745255030537,31302.36360168457,2200,2,0.85,17811.455642700195,2200,2,0.85,14532.701599121094,2200,2,0.85,10716.94692993164,2200,2,0.85,33220.60641479492,2200,2,0.85,16209.098846435547,2200,2,0.85,14620.481796264648,2200,2,0.85,14521.343978881836,2200,2,0.85,23377.080322265625,2132,1998,2133,2079,2195,2117,2195,4246,1974,2002,2192,2195,2152,4237,1991,4264,3.0303030014038086,3.0303030014038086,9.375,3.0303030014038086,3.0303030014038086,2.941176414489746,3.0303030014038086,3.0303030014038086,3.0303030014038086,0,3.0303030014038086,0,5.882352828979492,3.0303030014038086,3.0303030014038086,2.941176414489746,16665837568,4294963200,1127374848,0
1000,1745255030537,31302.363983154297,2200,2,0.84375,17811.455841064453,2200,2,0.84375,14532.704864501953,2200,2,0.84375,10716.947082519531,2200,2,0.84375,33220.609146118164,2200,2,0.84375,16209.100067138672,2200,2,0.84375,14620.481903076172,2200,2,0.84375,14521.34408569336,2200,2,0.84375,23377.09181213379,2132,1998,2133,2079,2195,2117,2195,4246,1974,2002,2192,2195,2152,4237,1991,4264,3.0303030014038086,3.0303030014038086,9.375,3.0303030014038086,3.0303030014038086,2.941176414489746,3.0303030014038086,3.0303030014038086,3.0303030014038086,0,3.0303030014038086,0,5.882352828979492,3.0303030014038086,3.0303030014038086,2.941176414489746,16665837568,4294963200,1127886848,0
1000,1745255031538,31302.36801147461,2200,2,0.85,17811.45881652832,2200,2,0.85,14532.714385986328,2200,2,0.85,10716.951644897461,2200,2,0.85,33220.6145324707,2200,2,0.85,16209.104446411133,2200,2,0.85,14620.484680175781,2200,2,0.85,14521.346542358398,2200,2,0.85,23383.248794555664,2132,1998,2133,2079,2195,2117,2195,4246,1974,2002,2192,2195,2152,4237,1991,4264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665837568,4294963200,1128398848,0
1000,1745255032538,31302.370193481445,2133.333333333333,2,0.8875,17811.462783813477,3200,1,0.8875,14532.722946166992,2133.333333333333,2,0.8875,10716.954605102539,2000,2,0.96875,33220.61666870117,2200,2,0.96875,16209.106323242188,2200,2,0.96875,14620.488159179688,2200,2,0.96875,14521.348999023438,2200,2,0.96875,23389.358764648438,2132,1998,2133,2079,2195,2117,2195,4246,1974,2002,2192,2195,2152,4237,1991,4264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665837568,4294963200,1128390656,0
1000,1745255033539,31302.37420654297,2200,2,0.85,17811.466674804688,2200,2,0.85,14532.731185913086,2200,2,0.85,10716.958419799805,2200,2,0.85,33220.62300109863,2200,2,0.85,16209.111465454102,2200,2,0.85,14620.492004394531,2200,2,0.85,14521.352401733398,2200,2,0.85,23395.530364990234,2132,1998,2133,2079,2195,2117,2195,4246,1974,2002,2192,2195,2152,4237,1991,4264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665837568,4294963200,1128390656,0
1000,1745255034539,31302.376251220703,2200,2,0.81875,17811.468795776367,2200,2,0.85,14532.737716674805,2200,2,0.85,10716.959884643555,2200,2,0.85,33220.62448120117,2200,2,0.85,16209.112808227539,2200,2,0.85,14620.494506835938,2200,2,0.85,14521.35385131836,2200,2,0.85,23401.584884643555,2132,1998,2133,2079,2195,2117,2195,4246,1974,2002,2192,2195,2152,4237,1991,4264,0,0,0.9900990128517151,0,0,0,0,0,0,0,0,0,0,0,0,0,16665837568,4294963200,1128390656,0
1000,1745255035540,31302.378631591797,2200,2,0.85,17811.47087097168,2200,2,0.85,14532.744430541992,2200,2,0.85,10716.961700439453,2200,2,0.85,33220.627670288086,2200,2,0.89375,16209.11459350586,2200,2,0.89375,14620.497650146484,2200,2,0.89375,14521.356811523438,2200,2,0.89375,23407.7068939209,2132,1998,2133,2079,2195,2117,2195,4246,1974,2002,2192,2195,2152,4237,1991,4264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665837568,4294963200,1128390656,0
1000,1745255036540,31302.380569458008,2000,2,0.9625,17811.47445678711,3000,2,0.9625,14532.752456665039,2000,2,0.9625,10716.963027954102,2000,2,0.9625,33220.628967285156,2200,2,0.9625,16209.116012573242,2200,2,0.9625,14620.501068115234,2200,2,0.9625,14521.358428955078,2200,2,0.9625,23413.785278320313,2132,1998,2133,2079,2195,2117,2195,4246,1974,2002,2192,2195,2152,4237,1991,4264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665837568,4294963200,1128390656,0
1000,1745255037541,31302.384643554688,2133.333333333333,2,0.8875,17811.479888916016,3200,1,0.8875,14532.763610839844,2133.333333333333,2,0.8875,10716.969680786133,2000,2,0.96875,33220.63522338867,2200,2,0.96875,16209.119735717773,2200,2,0.96875,14620.505661010742,2200,2,0.96875,14521.361999511719,2200,2,0.96875,23419.946655273438,2132,1998,2133,2079,2195,2117,2195,4246,1974,2002,2192,2195,2152,4237,1991,4264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665837568,4294963200,1128390656,0
1000,1745255038541,31302.387252807617,2000,2,0.9625,17811.482391357422,3000,2,0.9625,14532.772018432617,2000,2,0.9625,10716.972885131836,2000,2,0.9625,33220.63716125488,2200,2,0.9625,16209.121520996094,2200,2,0.9625,14620.507537841797,2200,2,0.9625,14521.363723754883,2200,2,0.9625,23426.02796936035,2132,1998,2133,2079,2195,2117,2195,4246,1974,2002,2192,2195,2152,4237,1991,4264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665837568,4294963200,1128382464,0
1000,1745255039542,31302.39044189453,2200,2,0.825,17811.48487854004,2200,2,0.85,14532.78352355957,2200,2,0.85,10716.975387573242,2200,2,0.85,33220.64108276367,2200,2,0.85,16209.123596191406,2200,2,0.85,14620.511337280273,2200,2,0.85,14521.36557006836,2200,2,0.85,23432.131423950195,2132,1998,2133,2079,2195,2117,2195,4246,1974,2002,2192,2195,2152,4237,1991,4264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665837568,4294963200,1128382464,0
