Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744803465602,3050.1892700195313,2200,2,0.8375,1220.041748046875,2200,2,0.8375,1691.7312622070313,2200,2,0.8375,851.4454193115234,2200,2,0.8375,3171.9368591308594,2200,2,0.8375,1274.0766143798828,2200,2,0.8375,1058.4425048828125,2200,2,0.8375,1119.3892364501953,2200,2,0.8375,29190.21189880371,1952,2200,2195,2176,2194,2194,2184,2200,2077,1994,2200,2192,2194,2193,2200,2411,0,3.3333334922790527,0,3.3333334922790527,3.3333334922790527,3.3333334922790527,0,0,3.3333334922790527,3.3333334922790527,7.142857551574707,6.45161247253418,3.3333334922790527,0,3.3333334922790527,3.3333334922790527,16665841664,4294963200,1095610368,0
1000,1744803465603,3050.1896209716797,2200,2,0.8375,1220.0442352294922,2200,2,0.8375,1691.7328338623047,2200,2,0.8375,851.4455871582031,2200,2,0.8375,3171.9401092529297,2200,2,0.8375,1274.0767822265625,2200,2,0.8375,1058.4426727294922,2200,2,0.8375,1119.389389038086,2200,2,0.8375,29190.238479614258,1952,2200,2195,2176,2194,2194,2184,2200,2077,1994,2200,2192,2194,2193,2200,2411,0,3.3333334922790527,0,3.3333334922790527,3.3333334922790527,3.3333334922790527,0,0,3.3333334922790527,3.3333334922790527,7.142857551574707,6.45161247253418,3.3333334922790527,0,3.3333334922790527,3.3333334922790527,16665841664,4294963200,1096122368,0
1000,1744803466603,3050.2010345458984,2133.333333333333,2,0.8875,1220.0521850585938,3200,1,0.8875,1691.7530822753906,2000,2,0.95625,851.4514617919922,2000,2,0.95625,3171.960693359375,2200,2,0.95625,1274.080337524414,2200,2,0.95625,1058.446792602539,2200,2,0.95625,1119.395278930664,2200,2,0.95625,29197.13136291504,1952,2200,2195,2176,2194,2194,2184,2200,2077,1994,2200,2192,2194,2193,2200,2411,0,0,1.9801980257034302,0,0,0,0,0,0,0,1.9607844352722168,0,0,0,0,0,16665841664,4294963200,1096089600,0
1000,1744803467604,3050.205307006836,2000,2,0.95625,1220.055923461914,3000,2,0.95625,1691.7581787109375,2000,2,0.95625,851.4546356201172,2000,2,0.95625,3171.971878051758,2200,2,0.95625,1274.083740234375,2200,2,0.95625,1058.4503021240234,2200,2,0.94375,1119.398941040039,2200,2,0.94375,29203.807052612305,1952,2200,2195,2176,2194,2194,2184,2200,2077,1994,2200,2192,2194,2193,2200,2411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1096531968,0
1000,1744803468604,3050.2154388427734,2000,2,0.9,1220.0614318847656,3000,2,0.95625,1691.7720794677734,2000,2,0.95625,851.4575500488281,2000,2,0.95625,3171.979705810547,2200,2,0.95625,1274.0865325927734,2200,2,0.95625,1058.4536590576172,2200,2,0.95625,1119.4011993408203,2200,2,0.95625,29210.504837036133,1952,2200,2195,2176,2194,2194,2184,2200,2077,1994,2200,2192,2194,2193,2200,2411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1096531968,0
1000,1744803469605,3050.2190856933594,2133.333333333333,2,0.9125,1220.064697265625,3200,1,0.9125,1691.7748565673828,2133.333333333333,2,0.9125,851.4601287841797,2133.333333333333,2,0.925,3171.9912109375,2200,2,0.925,1274.0889587402344,2200,2,0.925,1058.4583435058594,2200,2,0.925,1119.4036102294922,2200,2,0.925,29217.18670654297,1952,2200,2195,2176,2194,2194,2184,2200,2077,1994,2200,2192,2194,2193,2200,2411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1095299072,0
1000,1744803470605,3050.223419189453,2000,2,0.9625,1220.0693817138672,3000,2,0.9625,1691.7810363769531,2000,2,0.9625,851.4639434814453,2000,2,0.9625,3171.9983673095703,2200,2,0.9625,1274.092056274414,2200,2,0.9625,1058.461898803711,2200,2,0.9625,1119.4064331054688,2200,2,0.9625,29223.866729736328,1952,2200,2195,2176,2194,2194,2184,2200,2077,1994,2200,2192,2194,2193,2200,2411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1095299072,0
1000,1744803471605,3050.226531982422,2133.333333333333,2,0.8875,1220.0735626220703,3200,1,0.8875,1691.7852020263672,2133.333333333333,2,0.8875,851.4673004150391,2000,2,0.8875,3172.0091094970703,2200,2,0.9625,1274.094955444336,2200,2,0.9625,1058.466323852539,2200,2,0.9625,1119.4093933105469,2200,2,0.9625,29230.556579589844,1952,2200,2195,2176,2194,2194,2184,2200,2077,1994,2200,2192,2194,2193,2200,2411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1095299072,0
1000,1744803472606,3050.228561401367,2200,2,0.8375,1220.0763702392578,2200,2,0.8375,1691.7878723144531,2200,2,0.8375,851.4690246582031,2200,2,0.8375,3172.015396118164,2200,2,0.8375,1274.0967407226563,2200,2,0.8375,1058.4682006835938,2200,2,0.8375,1119.4112396240234,2200,2,0.8375,29237.2186126709,1952,2200,2195,2176,2194,2194,2184,2200,2077,1994,2200,2192,2194,2193,2200,2411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16665841664,4294963200,1095299072,0
1000,1744803473606,3050.2303466796875,2200,2,0.8125,1220.0786590576172,2200,2,0.8125,1691.7896575927734,2200,2,0.84375,851.4707641601563,2200,2,0.84375,3172.0216064453125,2200,2,0.84375,1274.0982208251953,2200,2,0.84375,1058.4703216552734,2200,2,0.84375,1119.4127807617188,2200,2,0.84375,29243.822235107422,1952,2200,2195,2176,2194,2194,2184,2200,2077,1994,2200,2192,2194,2193,2200,2411,0,0,0,0,0,0,0,0,0,0,0.9900990128517151,0,0,0,0,0,16665841664,4294963200,1095299072,0
