Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744797335388,39901.96522521973,2162.5,2,0.91875,21888.78941345215,4325,0,0.91875,22091.129806518555,2162.5,2,0.91875,21713.86117553711,2162.5,2,0.91875,38328.21064758301,2200,2,0.91875,24414.624923706055,2200,2,0.91875,24303.388793945313,2200,2,0.91875,23760.290573120117,2200,2,1.46875,40085.782455444336,2200,2437,1995,2104,2129,2200,2127,2127,2200,1902,2200,3191,2095,2200,2200,2200,0,6.45161247253418,13.333333969116211,9.375,3.3333334922790527,3.22580623626709,6.45161247253418,12.5,3.22580623626709,6.45161247253418,13.333333969116211,3.3333334922790527,6.45161247253418,6.6666669845581055,3.3333334922790527,3.22580623626709,16666599424,4294963200,2462642176,717488128
999,1744797335389,39901.97108459473,2150,2,1.45,21888.80291748047,4300,0,1.45,22091.131790161133,2150,2,1.45,21713.86181640625,2150,2,1.45,38328.217056274414,2200,2,1.45,24414.625564575195,2200,2,1.45,24303.391159057617,2200,2,1.45,23760.292999267578,2200,2,1.45,40085.84278869629,2200,2437,1995,2104,2129,2200,2127,2127,2200,1902,2200,3191,2095,2200,2200,2200,0,6.45161247253418,13.333333969116211,9.375,3.3333334922790527,3.22580623626709,6.45161247253418,12.5,3.22580623626709,6.45161247253418,13.333333969116211,3.3333334922790527,6.45161247253418,6.6666669845581055,3.3333334922790527,3.22580623626709,16666599424,4294963200,2462642176,717488128
999,1744797336389,39902.118255615234,2000,2,0.8875,21889.031845092773,3000,2,0.8875,22091.243057250977,2000,2,0.95625,21714.006942749023,2000,2,0.95625,38328.37855529785,2200,2,0.95625,24414.683349609375,2200,2,0.95625,24303.62940979004,2200,2,0.95625,23761.07551574707,2200,2,0.95625,40097.15475463867,2200,2437,1995,2104,2129,2200,2127,2127,2200,1902,2200,3191,2095,2200,2200,2200,1,1.9801980257034302,0,0,0.9900990128517151,1,0,2,1,0,0,0,1,0,0,1,16666599424,4294963200,2463387648,717488128
999,1744797337389,39902.22769165039,2000,2,0.95625,21889.260803222656,3000,2,0.95625,22091.35479736328,2000,2,0.95625,21714.173904418945,2000,2,0.95625,38328.49215698242,2200,2,0.95625,24414.72412109375,2200,2,0.95625,24303.78221130371,2200,2,0.95625,23761.87905883789,2200,2,0.95625,40108.35583496094,2200,2437,1995,2104,2129,2200,2127,2127,2200,1902,2200,3191,2095,2200,2200,2200,0,1,0,0,0,0,0,3,1,1,0,0,1.0101009607315063,0,0,0,16666599424,4294963200,2463387648,717488128
999,1744797338389,39902.59336853027,2150,2,1.45625,21889.653350830078,4300,0,1.45625,22091.966033935547,2150,2,1.45625,21714.956665039063,2150,2,1.45625,38328.61180114746,2200,2,1.45625,24414.742294311523,2200,2,1.45625,24304.07374572754,2200,2,1.45625,23762.4969329834,2200,2,1.45625,40121.051834106445,2200,2437,1995,2104,2129,2200,2127,2127,2200,1902,2200,3191,2095,2200,2200,2200,1,3,6.315789222717285,5.263157844543457,2,0,1,4.040403842926025,1.0309277772903442,10.204081535339355,1,1,3,1,5.0505051612854,0,16666599424,4294963200,2461859840,717488128
999,1744797339389,39904.13270568848,2175,2,1.5,21890.011169433594,4350,0,1.5,22092.92268371582,2175,2,1.5,21715.719665527344,2175,2,1.5,38329.03256225586,2200,2,1.5,24415.05795288086,2200,2,1.5,24304.888412475586,2200,2,1.5,23763.506591796875,2200,2,1.5,40137.08612060547,2200,2437,1995,2104,2129,2200,2127,2127,2200,1902,2200,3191,2095,2200,2200,2200,1.0204081535339355,2.0202019214630127,7.368420600891113,4.95049524307251,1.0101009607315063,1,4,7.920792102813721,3.0612244606018066,2.0618555545806885,1.0101009607315063,2.0202019214630127,4.040403842926025,5.15463924407959,21.212121963500977,1.0101009607315063,16666599424,4294963200,2463703040,717488128
999,1744797340389,39904.38803100586,2000,2,0.96875,21890.233642578125,3000,2,0.96875,22093.205368041992,2000,2,0.96875,21716.14080810547,2000,2,0.96875,38329.268493652344,2200,2,0.96875,24415.61016845703,2200,2,0.925,24305.032943725586,2200,2,0.925,23764.272247314453,2200,2,0.925,40149.77313232422,2200,2437,1995,2104,2129,2200,2127,2127,2200,1902,2200,3191,2095,2200,2200,2200,0,3,2,2.0202019214630127,1,1,0,6.060606002807617,0.9900990128517151,1.0101009607315063,1,1.0101009607315063,4.95049524307251,0,5,0,16666599424,4294963200,2463752192,717488128
999,1744797341389,39905.0768737793,2133.333333333333,2,0.95625,21891.771438598633,3200,1,0.95625,22096.405563354492,2133.333333333333,2,0.95625,21717.00843811035,2133.333333333333,2,0.9625,38330.56491088867,2200,2,0.9625,24416.388870239258,2200,2,0.9625,24305.839874267578,2200,2,0.9625,23765.912826538086,2200,2,0.9625,40171.631927490234,2200,2437,1995,2104,2129,2200,2127,2127,2200,1902,2200,3191,2095,2200,2200,2200,4.040403842926025,12.121212005615234,33,6,3.9603960514068604,1,5,8.08080768585205,3.0303030014038086,4,9.90099048614502,5,4,10,3.9603960514068604,6,16666599424,4294963200,2489208832,717488128
999,1744797342389,39905.70391845703,2137.5,2,1.45,21892.49592590332,4275,0,1.45,22097.622955322266,2150,2,1.425,21717.86344909668,2150,2,1.425,38332.81120300293,2200,2,1.425,24417.044708251953,2200,2,1.425,24306.72232055664,2200,2,1.425,23767.08868408203,2200,2,1.425,40191.048095703125,2200,2437,1995,2104,2129,2200,2127,2127,2200,1902,2200,3191,2095,2200,2200,2200,1.0101009607315063,1,17,2.0202019214630127,19,2,3.0303030014038086,7.216494560241699,1.0204081535339355,6.060606002807617,9.090909004211426,2.0202019214630127,3.0303030014038086,4.081632614135742,1.0204081535339355,3.0927834510803223,16666599424,4294963200,2491559936,717488128
999,1744797343389,39906.13569641113,2200,2,0.85,21893.255828857422,2200,2,0.85,22098.61636352539,2200,2,0.85,21718.509963989258,2200,2,0.85,38333.44201660156,2200,2,0.85,24417.78221130371,2200,2,0.85,24307.336212158203,2200,2,0.85,23767.779251098633,2200,2,0.85,40206.59573364258,2200,2437,1995,2104,2129,2200,2127,2127,2200,1902,2200,3191,2095,2200,2200,2200,1.0204081535339355,1,5.263157844543457,0,3.0612244606018066,7.070706844329834,2,0,3,3.0612244606018066,0,1,2,4.95049524307251,1,5.319149017333984,16666599424,4294963200,2485506048,717488128
