Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744797797898,40887.901306152344,2150,2,0.925,22285.38902282715,4300,0,0.925,22539.810745239258,2150,2,0.925,22116.550354003906,2150,2,0.925,39536.92533874512,2200,2,1.4375,24868.74461364746,2200,2,1.4375,25000.15692138672,2200,2,1.4375,24226.179748535156,2200,2,1.4375,50377.204666137695,2145,2200,4205,2144,2128,3190,2200,2169,2200,2139,2200,2531,2128,3193,2145,3209,3.22580623626709,3.125,3.22580623626709,6.25,9.090909004211426,6.060606002807617,3.22580623626709,3.22580623626709,3.22580623626709,3.125,6.25,6.25,6.060606002807617,3.22580623626709,3.22580623626709,12.5,16666599424,4294963200,2518032384,716963840
999,1744797797898,40887.90180969238,2150,2,0.91875,22285.38916015625,4300,0,0.91875,22539.812728881836,2150,2,0.91875,22116.550521850586,2150,2,0.91875,39536.93362426758,2200,2,0.91875,24868.745986938477,2200,2,0.91875,25000.158279418945,2200,2,0.91875,24226.18115234375,2200,2,1.44375,50377.25277709961,2145,2200,4205,2144,2128,3190,2200,2169,2200,2139,2200,2531,2128,3193,2145,3209,3.22580623626709,3.125,3.22580623626709,6.25,9.090909004211426,6.060606002807617,3.22580623626709,3.22580623626709,3.22580623626709,3.125,6.25,6.25,6.060606002807617,3.22580623626709,3.22580623626709,12.5,16666599424,4294963200,2518032384,716963840
999,1744797798898,40892.82958984375,2075,2,1.44375,22289.184967041016,4150,0,1.44375,22542.642013549805,2075,2,1.44375,22119.185440063477,2075,2,1.44375,39549.2353515625,4150,0,1.44375,24872.54978942871,2075,2,1.44375,25003.48275756836,2075,2,1.44375,24230.24444580078,2075,2,1.44375,50429.00068664551,2145,2200,4205,2144,2128,3190,2200,2169,2200,2139,2200,2531,2128,3193,2145,3209,22.22222328186035,20,19,4.95049524307251,93.93939208984375,30.30303192138672,14.705883026123047,12.745099067687988,10,22,15.000000953674316,9,22.22222328186035,21.782176971435547,30.39215850830078,16,16666599424,4294963200,2969550848,716963840
999,1744797799898,40901.06141662598,2087.5,2,1.4125,22294.87986755371,4175,0,1.4125,22543.01919555664,2087.5,2,1.4125,22120.18426513672,2087.5,2,1.4125,39551.18408203125,2200,2,1.4125,24874.268524169922,2200,2,1.4125,25005.155700683594,2200,2,1.4125,24232.223876953125,2200,2,1.4125,50466.60275268555,2145,2200,4205,2144,2128,3190,2200,2169,2200,2139,2200,2531,2128,3193,2145,3209,62,37.37373733520508,0,4.081632614135742,9.90099048614502,9,5,13,2,5,7.070706844329834,8,10.891088485717773,6,5.0505051612854,5,16666599424,4294963200,3237920768,716963840
999,1744797800898,40905.82682800293,2200,2,1.41875,22298.467514038086,2200,2,1.41875,22543.737762451172,2200,2,1.41875,22121.457061767578,2200,2,1.41875,39558.804779052734,4125,0,1.41875,24875.41275024414,2062.5,2,1.41875,25006.253646850586,2062.5,2,1.41875,24233.726440429688,2062.5,2,1.41875,50501.83430480957,2145,2200,4205,2144,2128,3190,2200,2169,2200,2139,2200,2531,2128,3193,2145,3209,33,18.18181800842285,0,1,0,9.090909004211426,7,4.081632614135742,3.0612244606018066,9,52.999996185302734,0,0,2,3,1.0101009607315063,16666599424,4294963200,3338301440,716963840
999,1744797801898,40912.40573120117,2062.5,2,1.38125,22305.42985534668,4125,0,1.38125,22547.788848876953,4125,0,1.38125,22126.13833618164,2062.5,2,1.38125,39564.677673339844,2062.5,2,1.38125,24882.667114257813,2062.5,2,1.38125,25010.279556274414,2062.5,2,1.38125,24237.549194335938,4125,0,1.38125,50558.33857727051,2145,2200,4205,2144,2128,3190,2200,2169,2200,2139,2200,2531,2128,3193,2145,3209,55,53.53535461425781,38,7,36,71,8,34,7,43,33.333335876464844,5.0505051612854,38,6,9.90099048614502,10.1010103225708,16666599424,4294963200,3575447552,716963840
999,1744797802898,40916.006439208984,4075,0,1.4125,22311.320571899414,2716.666666666667,2,1.4125,22549.241958618164,2037.5,2,1.4125,22128.911407470703,2037.5,2,1.4125,39575.08708190918,4075,0,1.4125,24884.796157836914,2037.5,2,1.4,25011.958068847656,2037.5,2,1.4,24239.30140686035,2037.5,2,1.4,50602.01823425293,2145,2200,4205,2144,2128,3190,2200,2169,2200,2139,2200,2531,2128,3193,2145,3209,27.7227725982666,42,6.86274528503418,23.85321044921875,7,7,5.882352828979492,9.803921699523926,2.040816307067871,8.08080768585205,72,8,8,0,4.040403842926025,1.0101009607315063,16666599424,4294963200,3596316672,716963840
999,1744797803898,40923.874114990234,4225,0,1.4,22312.83514404297,2112.5,2,1.4,22550.862396240234,2112.5,2,1.4,22130.34764099121,2112.5,2,1.4,39584.32127380371,2200,2,1.4,24886.51496887207,2200,2,1.4,25013.447555541992,2200,2,1.4,24241.022094726563,2200,2,1.4,50643.412521362305,2145,2200,4205,2144,2128,3190,2200,2169,2200,2139,2200,2531,2128,3193,2145,3209,49.532711029052734,14.545454025268555,3.9603960514068604,11.21495246887207,3.0612244606018066,6,4.040403842926025,5.0505051612854,16.363636016845703,1.0101009607315063,61.386138916015625,7,3,7,17,1.0204081535339355,16666599424,4294963200,3585556480,716963840
999,1744797804898,40930.57345581055,2050,2,1.41875,22316.64274597168,4100,0,1.41875,22552.541702270508,2050,2,1.41875,22131.49412536621,2050,2,1.41875,39590.09574890137,4100,0,1.41875,24887.617263793945,2050,2,1.41875,25014.687393188477,2050,2,1.41875,24242.403915405273,2050,2,1.41875,50681.16242980957,2145,2200,4205,2144,2128,3190,2200,2169,2200,2139,2200,2531,2128,3193,2145,3209,43.43434143066406,27.358489990234375,10.377358436584473,5.882352828979492,3.9603960514068604,1.0204081535339355,3,1,8.91089153289795,4,38.38383865356445,1.0101009607315063,1.0101009607315063,4,5,4,16666599424,4294963200,3584045056,716963840
999,1744797805898,40935.22203063965,4100,0,1.3875,22318.109741210938,2050,2,1.3875,22553.835220336914,2050,2,1.3875,22132.978302001953,2050,2,1.3875,39602.82278442383,4100,0,1.3875,24889.102767944336,2050,2,1.3875,25016.035537719727,2050,2,1.3875,24245.012466430664,2050,2,1.3875,50722.96583557129,2145,2200,4205,2144,2128,3190,2200,2169,2200,2139,2200,2531,2128,3193,2145,3209,17.171716690063477,4.081632614135742,4,5.0505051612854,26.26262664794922,5,4.040403842926025,14.141413688659668,4,7,72,4,1.0101009607315063,16.831682205200195,19.191919326782227,5.0505051612854,16666599424,4294963200,3580207104,716963840
