Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744796291546,38351.6510925293,2175,2,1.48125,21328.763717651367,4350,0,1.48125,21597.0224609375,2175,2,1.48125,20850.89601135254,2175,2,1.48125,36397.581481933594,2200,2,1.48125,23592.963134765625,2200,2,1.48125,23656.89906311035,2200,2,1.48125,23087.773651123047,2200,2,1.48125,21553.466537475586,3176,3176,2128,2126,2195,2195,2194,2194,2129,2125,2193,2187,2076,2153,2605,3193,13.88888931274414,5.555555820465088,5.714285850524902,2.857142925262451,2.857142925262451,2.857142925262451,11.428571701049805,11.111111640930176,8.571429252624512,2.857142925262451,5.555555820465088,2.857142925262451,2.857142925262451,5.714285850524902,2.857142925262451,5.714285850524902,16666599424,4294963200,2485174272,730071040
999,1744796291547,38351.65263366699,2200,2,1.48125,21328.766479492188,2200,2,1.48125,21597.02439880371,2200,2,1.48125,20850.90301513672,2200,2,1.48125,36397.582290649414,2200,2,1.48125,23592.96499633789,2200,2,1.48125,23656.907592773438,2200,2,1.48125,23087.775466918945,2200,2,0.85,21553.517181396484,3176,3176,2128,2126,2195,2195,2194,2194,2129,2125,2193,2187,2076,2153,2605,3193,13.88888931274414,5.555555820465088,5.714285850524902,2.857142925262451,2.857142925262451,2.857142925262451,11.428571701049805,11.111111640930176,8.571429252624512,2.857142925262451,5.555555820465088,2.857142925262451,2.857142925262451,5.714285850524902,2.857142925262451,5.714285850524902,16666599424,4294963200,2485174272,730071040
999,1744796292547,38356.19274902344,4275,0,1.4375,21332.474731445313,2850,2,1.4375,21599.28237915039,2125,2,1.4312500000000001,20855.031646728516,2125,2,1.4312500000000001,36400.31677246094,3200,1,1.4312500000000001,23598.147384643555,3200,1,1.4312500000000001,23667.430572509766,2133.333333333333,2,1.4312500000000001,23092.35809326172,2133.333333333333,2,1.4312500000000001,21604.822860717773,3176,3176,2128,2126,2195,2195,2194,2194,2129,2125,2193,2187,2076,2153,2605,3193,30.612245559692383,21,10.1010103225708,25.25252342224121,24,24,12.121212005615234,12.121212005615234,19,23,4,24.24242401123047,74.25743103027344,30.39215850830078,19,18.367347717285156,16666599424,4294963200,2897166336,730071040
999,1744796293547,38358.93800354004,2100,2,1.4312500000000001,21334.419067382813,2100,2,1.4312500000000001,21601.03971862793,2100,2,1.4312500000000001,20866.81021118164,4200,0,1.4312500000000001,36401.94999694824,2200,2,1.4312500000000001,23599.784927368164,2200,2,1.4312500000000001,23668.75210571289,2200,2,1.4312500000000001,23093.70964050293,2200,2,1.4312500000000001,21643.61228942871,3176,3176,2128,2126,2195,2195,2194,2194,2129,2125,2193,2187,2076,2153,2605,3193,17.171716690063477,12,12,4.95049524307251,9,7,2.97029709815979,5,5,86,3,4,3,3,5,5.0505051612854,16666599424,4294963200,3216629760,730071040
999,1744796294547,38360.20429992676,2112.5,2,1.4312500000000001,21334.89860534668,2816.666666666667,2,1.4312500000000001,21602.202026367188,2112.5,2,1.4312500000000001,20881.080688476563,4225,0,1.4312500000000001,36402.94320678711,2200,2,1.4312500000000001,23600.31398010254,2200,2,1.4312500000000001,23670.55694580078,2200,2,1.4312500000000001,23095.289138793945,2200,2,1.4312500000000001,21679.335540771484,3176,3176,2128,2126,2195,2195,2194,2194,2129,2125,2193,2187,2076,2153,2605,3193,5.0505051612854,2,9,0,7,1,10.1010103225708,5.94059419631958,1.0101009607315063,100,0,2,0,0,3.0612244606018066,1.0101009607315063,16666599424,4294963200,3322724352,730071040
999,1744796295547,38364.65489196777,2062.5,2,1.4375,21343.185119628906,2750,2,1.4375,21610.310089111328,4125,0,1.4375,20888.239364624023,2062.5,2,1.4375,36407.95919799805,4125,0,1.4375,23603.6798248291,2062.5,2,1.4375,23675.814254760742,2062.5,2,1.4375,23100.40103149414,2062.5,2,1.4375,21739.73402404785,3176,3176,2128,2126,2195,2195,2194,2194,2129,2125,2193,2187,2076,2153,2605,3193,37.37373733520508,36.73469543457031,61.386138916015625,37.62376403808594,30.693069458007813,28,25.25252342224121,50.50504684448242,27.000001907348633,49.49494934082031,22.77227783203125,14,30.30303192138672,8,14,43,16666599424,4294963200,3433848832,730071040
999,1744796296547,38367.19291687012,2037.5,2,1.40625,21351.157836914063,2716.666666666667,2,1.40625,21615.670501708984,4075,0,1.40625,20891.41229248047,2716.666666666667,2,1.40625,36411.47508239746,4075,0,1.40625,23605.97117614746,2037.5,2,1.40625,23678.96629333496,2037.5,2,1.40625,23101.96795654297,2037.5,2,1.40625,21783.781127929688,3176,3176,2128,2126,2195,2195,2194,2194,2129,2125,2193,2187,2076,2153,2605,3193,12.244897842407227,47.52475357055664,9.090909004211426,18.18181800842285,0,15.000000953674316,19.80198097229004,6,30.000001907348633,5,22,4,1,2.0202019214630127,3.9603960514068604,6.122448921203613,16666599424,4294963200,3480293376,730071040
999,1744796297547,38370.68998718262,2112.5,2,1.4125,21352.603759765625,2816.666666666667,2,1.4125,21622.84506225586,4225,0,1.4125,20893.4083404541,2112.5,2,1.4125,36416.616470336914,2133.333333333333,2,1.4125,23608.746337890625,3200,1,1.4125,23681.010711669922,2133.333333333333,2,1.4125,23103.21795654297,2133.333333333333,2,1.4125,21823.606246948242,3176,3176,2128,2126,2195,2195,2194,2194,2129,2125,2193,2187,2076,2153,2605,3193,21.212121963500977,7.070706844329834,47.47474670410156,10,1,15.15151596069336,10,1,3,2,32.3232307434082,5,1,3,2.0202019214630127,1.9801980257034302,16666599424,4294963200,3480809472,730071040
999,1744796298547,38371.298751831055,2125,2,1.45625,21352.863739013672,4250,0,1.44375,21638.069076538086,4250,0,1.44375,20893.634201049805,2125,2,1.44375,36416.8291015625,2200,2,1.44375,23610.342239379883,2200,2,1.44375,23681.30628967285,2200,2,1.44375,23104.492721557617,2200,2,1.44375,21857.73728942871,3176,3176,2128,2126,2195,2195,2194,2194,2129,2125,2193,2187,2076,2153,2605,3193,3.0303030014038086,0,100,1,0,4,1,2,0.9900990128517151,1,1,4,0,1.9801980257034302,2.0202019214630127,2,16666599424,4294963200,3480809472,730071040
1000,1744796299547,38371.75369262695,2125,2,1.4312500000000001,21353.1824798584,2833.333333333333,2,1.4312500000000001,21653.440368652344,4250,0,1.4312500000000001,20893.842803955078,2125,2,1.4312500000000001,36417.04473876953,2200,2,1.4312500000000001,23611.98878479004,2200,2,1.4312500000000001,23681.466537475586,2200,2,1.4312500000000001,23105.728775024414,2200,2,1.4312500000000001,21891.75584411621,3176,3176,2128,2126,2195,2195,2194,2194,2129,2125,2193,2187,2076,2153,2605,3193,3.9603960514068604,1,100,0,0,5,0,1,0,2,2,3.0612244606018066,1,1,1,0,16666599424,4294963200,3480809472,730071040
999,1744796300548,38376.94467163086,4250,0,1.44375,21353.541748046875,2833.333333333333,2,1.44375,21661.869415283203,2125,2,1.44375,20894.04312133789,2125,2,1.44375,36419.634201049805,2200,2,1.44375,23613.081176757813,2200,2,1.44375,23681.758575439453,2200,2,1.44375,23107.023834228516,2200,2,1.44375,21925.774215698242,3176,3176,2128,2126,2195,2195,2194,2194,2129,2125,2193,2187,2076,2153,2605,3193,33.333335876464844,1.0101009607315063,53.46534729003906,1.9801980257034302,1,1.9801980257034302,0.9900990128517151,2,0.9900990128517151,0,15.000000953674316,3.9603960514068604,2.0202019214630127,1.0101009607315063,1,1.0101009607315063,16666599424,4294963200,3480809472,730071040
999,1744796301548,38391.64340209961,2062.5,2,1.4375,21353.895294189453,4125,0,1.4375,21662.0899810791,2062.5,2,1.4375,20894.352279663086,2062.5,2,1.4375,36420.38368225098,4125,0,1.4375,23613.722091674805,2062.5,2,1.4375,23682.230361938477,2062.5,2,1.4375,23108.371353149414,2062.5,2,1.4375,21958.826690673828,3176,3176,2128,2126,2195,2195,2194,2194,2129,2125,2193,2187,2076,2153,2605,3193,96,1,1.9801980257034302,0,1,2.0202019214630127,1,2.0202019214630127,1,2.0202019214630127,5,0,5,2,1,1.0101009607315063,16666599424,4294963200,3480809472,730071040
1000,1744796302548,38402.736389160156,2112.5,2,1.45,21354.249786376953,2816.666666666667,2,1.45,21662.332458496094,2112.5,2,1.45,20895.946212768555,4225,0,1.45,36423.84150695801,2200,2,1.45,23613.998489379883,2200,2,1.44375,23682.68147277832,2200,2,1.44375,23109.688858032227,2200,2,1.44375,21992.048370361328,3176,3176,2128,2126,2195,2195,2194,2194,2129,2125,2193,2187,2076,2153,2605,3193,71,1,1.0101009607315063,1,1,1.0101009607315063,1,2.0202019214630127,1.0101009607315063,10,21,1.9801980257034302,5.882352828979492,2,1.0101009607315063,1.0101009607315063,16666599424,4294963200,3480801280,730071040
999,1744796303548,38403.3397064209,2087.5,2,1.4312500000000001,21354.541931152344,4175,0,1.4312500000000001,21662.614868164063,2087.5,2,1.4312500000000001,20911.131637573242,4175,0,1.4312500000000001,36424.04852294922,2200,2,1.4125,23614.145446777344,2200,2,1.4125,23683.09605407715,2200,2,1.4125,23110.97735595703,2200,2,1.4125,22024.586349487305,3176,3176,2128,2126,2195,2195,2194,2194,2129,2125,2193,2187,2076,2153,2605,3193,2,1,2,1.0101009607315063,1,0,0,2.0202019214630127,1,100,1,0,4,0,3,2,16666599424,4294963200,3480473600,730071040
999,1744796304549,38411.00926208496,4225,0,1.4312500000000001,21354.922454833984,2816.666666666667,2,1.4312500000000001,21662.8973236084,2112.5,2,1.4312500000000001,20916.17710876465,2112.5,2,1.4312500000000001,36428.07246398926,2200,2,1.4312500000000001,23614.422393798828,2200,2,1.4312500000000001,23683.33140563965,2200,2,1.4312500000000001,23112.257431030273,2200,2,1.4312500000000001,22057.990356445313,3176,3176,2128,2126,2195,2195,2194,2194,2129,2125,2193,2187,2076,2153,2605,3193,50,1.0101009607315063,1.0101009607315063,2.97029709815979,4.95049524307251,2,1.9801980257034302,1.9801980257034302,1,30.000001907348633,22,1,1.0101009607315063,2,2,2.0202019214630127,16666599424,4294963200,3479879680,730071040
