Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745244299967,6957.408752441406,2125,2,1.4375,3370.4540252685547,2125,2,1.4375,2630.918441772461,4250,0,1.4375,3877.645980834961,2125,2,1.4375,10938.719100952148,2125,2,1.4375,3080.6473999023438,4250,0,1.4375,2776.405715942383,2125,2,1.44375,3130.0682373046875,2125,2,1.44375,4006.9970092773438,3200,4289,2057,2200,2200,2195,2200,2195,2200,2008,2200,2200,2200,2200,2200,2200,0,2.5641026496887207,25.641027450561523,0,5,20.512821197509766,2.5641026496887207,0,5,2.5641026496887207,0,0,2.5641026496887207,0,0,0,16665837568,4294963200,1180180480,0
999,1745244299968,6957.409317016602,2125,2,1.44375,3370.454574584961,2125,2,1.44375,2630.9287872314453,4250,0,1.44375,3877.646530151367,2125,2,1.44375,10938.719665527344,2125,2,1.44375,3080.6588134765625,4250,0,1.44375,2776.406478881836,2125,2,1.44375,3130.0689544677734,2125,2,1.44375,4007.0360717773438,3200,4289,2057,2200,2200,2195,2200,2195,2200,2008,2200,2200,2200,2200,2200,2200,0,2.5641026496887207,25.641027450561523,0,5,20.512821197509766,2.5641026496887207,0,5,2.5641026496887207,0,0,2.5641026496887207,0,0,0,16665837568,4294963200,1180180480,0
999,1745244300968,6960.098785400391,2125,2,1.41875,3372.704071044922,2125,2,1.4375,2634.203384399414,2125,2,1.4375,3887.6695251464844,4250,0,1.4375,10941.464096069336,2200,2,1.4375,3086.9447479248047,2200,2,1.4375,2778.4945526123047,2200,2,1.4375,3132.1495361328125,2200,2,1.4375,4051.503448486328,3200,4289,2057,2200,2200,2195,2200,2195,2200,2008,2200,2200,2200,2200,2200,2200,4,8,26.73267364501953,0,4.95049524307251,0,3.9603960514068604,3.9215688705444336,9.90099048614502,80.1980209350586,17.8217830657959,27.000001907348633,14.851485252380371,16,27.000001907348633,14,16665837568,4294963200,1271545856,0
999,1745244301968,6968.630462646484,4075,0,1.36875,3381.8599548339844,4075,0,1.36875,2641.372116088867,2037.5,2,1.36875,3897.623519897461,4075,0,1.36875,10950.539520263672,4075,0,1.36875,3091.2421112060547,2716.666666666667,2,1.36875,2786.627883911133,4075,0,1.36875,3140.6377716064453,4075,0,1.36875,4126.482406616211,3200,4289,2057,2200,2200,2195,2200,2195,2200,2008,2200,2200,2200,2200,2200,2200,50,58.58585739135742,32.3232307434082,72,79,37,16,72.7272720336914,40.4040412902832,38,29.29292869567871,17,83.83838653564453,39.39393997192383,28.571430206298828,38.38383865356445,16665837568,4294963200,1571135488,0
999,1745244302968,6972.668075561523,2062.5,2,1.4125,3391.4501342773438,4125,0,1.4125,2646.8270721435547,2062.5,2,1.4125,3904.6815338134766,4125,0,1.4125,10958.446731567383,4125,0,1.4125,3100.077651977539,4125,0,1.40625,2791.787643432617,4125,0,1.40625,3146.481430053711,4125,0,1.40625,4191.138046264648,3200,4289,2057,2200,2200,2195,2200,2195,2200,2008,2200,2200,2200,2200,2200,2200,23.711339950561523,40.81632614135742,27.000001907348633,8.08080768585205,54.000003814697266,32.3232307434082,21.212121963500977,41.41414260864258,34,70,34.34343338012695,64.6464614868164,51,31,24,48,16665837568,4294963200,1932918784,0
999,1745244303968,6978.02311706543,2087.5,2,1.4375,3395.7060546875,4175,0,1.4375,2649.634323120117,4175,0,1.4375,3908.19873046875,2087.5,2,1.4375,10965.871536254883,4175,0,1.4375,3108.0066680908203,2087.5,2,1.4375,2793.124786376953,2087.5,2,1.4375,3152.049774169922,4175,0,1.4375,4243.2303466796875,3200,4289,2057,2200,2200,2195,2200,2195,2200,2008,2200,2200,2200,2200,2200,2200,28,27.000001907348633,15.000000953674316,10,62,4.040403842926025,2.0202019214630127,30.000001907348633,13.13131332397461,24,2.97029709815979,57,4.040403842926025,27.000001907348633,16.831682205200195,6.060606002807617,16665837568,4294963200,2249285632,0
999,1745244304968,6986.339401245117,4025,0,1.34375,3399.3060302734375,4025,0,1.34375,2652.6729583740234,4025,0,1.34375,3909.3382873535156,2012.5,2,1.34375,10974.839218139648,4025,0,1.34375,3110.673568725586,4025,0,1.34375,2798.081741333008,4025,0,1.34375,3156.215606689453,4025,0,1.34375,4294.331024169922,3200,4289,2057,2200,2200,2195,2200,2195,2200,2008,2200,2200,2200,2200,2200,2200,52.04081726074219,21.212121963500977,7,8.91089153289795,45.45454788208008,7.920792102813721,31.683168411254883,23.76237678527832,24,2.0202019214630127,43,21,17.8217830657959,19.191919326782227,17.171716690063477,10,16665837568,4294963200,2406170624,0
999,1745244305968,6988.34912109375,4250,0,1.41875,3400.507095336914,2125,2,1.41875,2666.173049926758,4250,0,1.41875,3909.983612060547,2125,2,1.41875,10976.133850097656,2200,2,1.41875,3112.0316162109375,2200,2,1.41875,2799.0233459472656,2200,2,1.41875,3158.1128540039063,2200,2,1.41875,4330.468460083008,3200,4289,2057,2200,2200,2195,2200,2195,2200,2008,2200,2200,2200,2200,2200,2200,17.8217830657959,6,5.0505051612854,4.040403842926025,11,4,5,11.111111640930176,99,0,5,11.111111640930176,4,5,5,5.94059419631958,16665837568,4294963200,2913976320,0
999,1745244306968,6995.177764892578,3975,0,1.325,3407.8257751464844,3975,0,1.325,2676.949203491211,3975,0,1.325,3916.3722534179688,3975,0,1.325,10984.567077636719,3975,0,1.325,3119.586959838867,3975,0,1.325,2806.3796997070313,3975,0,1.325,3166.0110931396484,3975,0,1.325,4403.829254150391,3200,4289,2057,2200,2200,2195,2200,2195,2200,2008,2200,2200,2200,2200,2200,2200,62.24489974975586,18.367347717285156,14.141413688659668,8.91089153289795,13,40.4040412902832,50.50504684448242,82,93.93939208984375,80,88.8888931274414,51.48514938354492,72.7272720336914,29.29292869567871,31,82.82828521728516,16665837568,4294963200,3035774976,0
999,1745244307968,6999.917663574219,4150,0,1.41875,3411.663360595703,4150,0,1.41875,2680.935317993164,2075,2,1.41875,3919.1498413085938,2075,2,1.41875,10987.308624267578,2075,2,1.41875,3122.835418701172,2075,2,1.41875,2820.719985961914,4150,0,1.41875,3171.8268280029297,2075,2,1.41875,4458.548400878906,3200,4289,2057,2200,2200,2195,2200,2195,2200,2008,2200,2200,2200,2200,2200,2200,4.040403842926025,3.9603960514068604,7,6.060606002807617,11.111111640930176,7,6,52.999996185302734,35,25,17.8217830657959,25.25252342224121,97.97979736328125,9,47,34,16665837568,4294963200,3052290048,0
