Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745254381371,29967.998611450195,2200,2,1.4312500000000001,16799.610305786133,2200,2,1.4312500000000001,14134.922744750977,2200,2,1.4312500000000001,10307.934616088867,2200,2,1.4312500000000001,31471.189010620117,2137.5,2,1.4312500000000001,15294.554901123047,4275,0,1.4312500000000001,13642.399993896484,2137.5,2,1.4312500000000001,13795.409957885742,2137.5,2,1.4312500000000001,9611.407836914063,3200,2200,1969,2200,4192,2200,2200,2200,2200,2200,2200,2200,1875,3200,2200,2200,5.128205299377441,7.894736289978027,2.6315789222717285,0,2.6315789222717285,2.6315789222717285,2.6315789222717285,2.5641026496887207,2.702702760696411,2.6315789222717285,0,27.02702522277832,2.6315789222717285,2.6315789222717285,2.6315789222717285,2.6315789222717285,16665837568,4294963200,1182552064,0
999,1745254381371,29967.999420166016,2200,2,1.4312500000000001,16799.622268676758,2200,2,1.4312500000000001,14134.92349243164,2200,2,1.4312500000000001,10307.935592651367,2200,2,1.4312500000000001,31471.18977355957,2137.5,2,1.4312500000000001,15294.557540893555,4275,0,1.4312500000000001,13642.400695800781,2137.5,2,1.4312500000000001,13795.421112060547,2850,2,1.4312500000000001,9611.466690063477,3200,2200,1969,2200,4192,2200,2200,2200,2200,2200,2200,2200,1875,3200,2200,2200,5.128205299377441,7.894736289978027,2.6315789222717285,0,2.6315789222717285,2.6315789222717285,2.6315789222717285,2.5641026496887207,2.702702760696411,2.6315789222717285,0,27.02702522277832,2.6315789222717285,2.6315789222717285,2.6315789222717285,2.6315789222717285,16665837568,4294963200,1182552064,0
999,1745254382371,29969.96173095703,2112.5,2,1.425,16810.350296020508,4225,0,1.425,14138.950485229492,4225,0,1.425,10310.079528808594,2112.5,2,1.425,31473.277709960938,2200,2,1.425,15296.354782104492,2200,2,1.425,13643.816329956055,2200,2,1.425,13800.599884033203,2200,2,1.425,9653.68344116211,3200,2200,1969,2200,4192,2200,2200,2200,2200,2200,2200,2200,1875,3200,2200,2200,6,20.79207992553711,25.74257469177246,12.745099067687988,10.784314155578613,5.882352828979492,1.9801980257034302,1.9607844352722168,17,9.90099048614502,6.796116352081299,6.796116352081299,7.843137741088867,19.4174747467041,10.891088485717773,73.26732635498047,16665837568,4294963200,1279795200,0
999,1745254383371,29977.712982177734,2037.5,2,1.3875,16819.947525024414,2037.5,2,1.3875,14147.451400756836,4075,0,1.3875,10317.883682250977,4075,0,1.3875,31481.869186401367,4075,0,1.3875,15304.749740600586,4075,0,1.3875,13649.317962646484,4075,0,1.3875,13808.341049194336,4075,0,1.3875,9727.968460083008,3200,2200,1969,2200,4192,2200,2200,2200,2200,2200,2200,2200,1875,3200,2200,2200,25.773195266723633,76,77,57,86,21,14,10.204081535339355,27.000001907348633,75,27.272727966308594,82.82828521728516,56,83.83838653564453,75.75757598876953,12,16665837568,4294963200,1629192192,0
999,1745254384371,29981.706588745117,4150,0,1.4,16826.495971679688,4150,0,1.4,14157.624526977539,4150,0,1.4,10325.266616821289,4150,0,1.4,31488.61766052246,2075,2,1.4,15309.574447631836,2100,2,1.39375,13657.580093383789,4200,0,1.39375,13813.339782714844,2100,2,1.39375,9793.205963134766,3200,2200,1969,2200,4192,2200,2200,2200,2200,2200,2200,2200,1875,3200,2200,2200,41,59.5959587097168,71.71717071533203,62,67.67676544189453,15.15151596069336,11,11.111111640930176,17,38.38383865356445,28,48,79.7979736328125,55.55555725097656,5.0505051612854,10,16665837568,4294963200,1846681600,0
999,1745254385371,29983.23207092285,2050,2,1.39375,16829.343811035156,2050,2,1.39375,14170.639190673828,4100,0,1.39375,10331.13656616211,4100,0,1.39375,31496.08122253418,4100,0,1.39375,15316.620727539063,4100,0,1.39375,13659.452667236328,2050,2,1.39375,13814.931411743164,2050,2,1.39375,9848.16584777832,3200,2200,1969,2200,4192,2200,2200,2200,2200,2200,2200,2200,1875,3200,2200,2200,8.08080768585205,11,89,46.46464538574219,5,13,11,8.91089153289795,12.121212005615234,8,64.6464614868164,51,6,5.94059419631958,6.060606002807617,22.22222328186035,16665837568,4294963200,2281492480,0
999,1745254386371,29984.3611907959,2062.5,2,1.425,16830.58270263672,2062.5,2,1.425,14183.137252807617,4125,0,1.425,10337.910552978516,4125,0,1.425,31500.599395751953,4125,0,1.425,15320.22932434082,2062.5,2,1.425,13660.708801269531,2062.5,2,1.425,13816.483840942383,2062.5,2,1.425,9895.649017333984,3200,2200,1969,2200,4192,2200,2200,2200,2200,2200,2200,2200,1875,3200,2200,2200,6.060606002807617,8,6,36.633663177490234,8.91089153289795,6,1,8,90.90909576416016,21,31,28,5.94059419631958,5.0505051612854,7,8,16665837568,4294963200,2368188416,0
1000,1745254387371,29985.197998046875,2062.5,2,1.41875,16831.509872436523,2062.5,2,1.41875,14184.758529663086,2062.5,2,1.41875,10340.524230957031,4125,0,1.41875,31514.23272705078,4125,0,1.41875,15321.28498840332,2062.5,2,1.41875,13661.720123291016,2062.5,2,1.41875,13817.664352416992,2062.5,2,1.41875,9932.179092407227,3200,2200,1969,2200,4192,2200,2200,2200,2200,2200,2200,2200,1875,3200,2200,2200,7,9.90099048614502,7,0,6,7.920792102813721,0,7,11.88118839263916,23,99,5,6.060606002807617,6.060606002807617,7.920792102813721,8,16665837568,4294963200,2732912640,0
999,1745254388372,29993.417770385742,3975,0,1.3125,16839.304977416992,3975,0,1.3125,14192.496826171875,3975,0,1.3125,10347.812622070313,3975,0,1.3125,31524.331665039063,3975,0,1.3125,15330.523498535156,3975,0,1.3125,13669.55029296875,3975,0,1.3125,13825.279968261719,3975,0,1.3125,10008.043579101563,3200,2200,1969,2200,4192,2200,2200,2200,2200,2200,2200,2200,1875,3200,2200,2200,77.77777862548828,87.8787841796875,62,10.1010103225708,17.346939086914063,39.39393997192383,89.1089096069336,23.469388961791992,43.8775520324707,88,96,69.38775634765625,19.191919326782227,84.31372833251953,86.73469543457031,22,16665837568,4294963200,2860646400,0
999,1745254389372,29997.96617126465,2112.5,2,1.45625,16842.761688232422,2112.5,2,1.45625,14196.142807006836,4225,0,1.45625,10350.28286743164,2112.5,2,1.45625,31527.047073364258,2112.5,2,1.45625,15344.798858642578,4225,0,1.45625,13673.080017089844,2112.5,2,1.45625,13829.011322021484,2112.5,2,1.45625,10060.085021972656,3200,2200,1969,2200,4192,2200,2200,2200,2200,2200,2200,2200,1875,3200,2200,2200,15.15151596069336,23,27.272727966308594,6,4,99,30.30303192138672,5,15.841584205627441,18.18181800842285,23.232322692871094,4.95049524307251,5,31.632652282714844,42.156864166259766,11,16665837568,4294963200,2877677568,0
