Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1745248861160,16579.29217529297,2133.333333333333,2,0.91875,8773.310409545898,2133.333333333333,2,0.91875,7161.519149780273,2560,2,0.91875,6925.89404296875,3200,1,0.91875,21659.82862854004,2200,2,1.00625,8607.775970458984,2200,2,1.00625,8133.231704711914,2200,2,1.00625,8069.075668334961,2200,2,1.00625,29912.39080810547,3700,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,4341,2200,4326,2200,4.761904716491699,0,26.19047737121582,2.3809523582458496,2.4390242099761963,0,0,0,0,2.3809523582458496,0,2.3809523582458496,7.142857551574707,0,0,2.3809523582458496,16665837568,4294963200,1174171648,0
999,1745248861160,16579.292404174805,2150,2,0.95625,8773.310562133789,2150,2,0.95625,7161.519287109375,4300,0,0.95625,6925.896835327148,4300,0,0.95625,21659.828811645508,2200,2,0.95625,8607.776245117188,2200,2,0.95625,8133.23991394043,2200,2,0.95625,8069.076629638672,2200,2,1.4375,29912.4393157959,3700,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,4341,2200,4326,2200,4.761904716491699,0,26.19047737121582,2.3809523582458496,2.4390242099761963,0,0,0,0,2.3809523582458496,0,2.3809523582458496,7.142857551574707,0,0,2.3809523582458496,16665837568,4294963200,1174171648,0
999,1745248862160,16581.373275756836,2200,2,1.425,8775.442581176758,2200,2,1.425,7163.570983886719,2200,2,1.425,6932.976593017578,2200,2,1.425,21663.334182739258,4150,0,1.425,8610.248901367188,2075,2,1.425,8141.708251953125,2075,2,1.425,8071.501815795898,2075,2,1.425,29955.128158569336,3700,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,4341,2200,4326,2200,8,7.843137741088867,5,13.72549057006836,13.8613862991333,9.803921699523926,5.94059419631958,20.79207992553711,12.745099067687988,29.411766052246094,17.47572898864746,14.851485252380371,59.405941009521484,2.884615421295166,8.823529243469238,11,16665837568,4294963200,1280061440,0
999,1745248863160,16586.278106689453,4025,0,1.3875,8781.016525268555,4025,0,1.3875,7172.869522094727,4025,0,1.3875,6942.116455078125,2012.5,2,1.3875,21672.88165283203,4025,0,1.3875,8618.888626098633,4025,0,1.3875,8151.017730712891,4025,0,1.3875,8080.152679443359,4025,0,1.3875,30030.44239807129,3700,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,4341,2200,4326,2200,51,24,37.62376403808594,85.85858154296875,73,79,9.090909004211426,88.11881256103516,69,26,16.1616153717041,30.000001907348633,87,12.244897842407227,9.90099048614502,49.50495147705078,16665837568,4294963200,1640296448,0
999,1745248864160,16592.49201965332,4175,0,1.4312500000000001,8788.864181518555,2783.333333333333,2,1.4312500000000001,7176.728515625,2783.333333333333,2,1.4312500000000001,6946.123382568359,4175,0,1.4312500000000001,21676.43766784668,2783.333333333333,2,1.41875,8623.660400390625,2087.5,2,1.41875,8163.283828735352,2087.5,2,1.41875,8086.115814208984,4175,0,1.41875,30092.16145324707,3700,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,4341,2200,4326,2200,57.57575607299805,3.0303030014038086,21,38,22,37.37373733520508,21,3.0303030014038086,14,1.0101009607315063,10.891088485717773,7.070706844329834,89,52,7.070706844329834,68.6868667602539,16665837568,4294963200,1992531968,0
999,1745248865160,16596.244033813477,2200,2,1.44375,8794.133056640625,2200,2,1.44375,7180.0186767578125,2200,2,1.44375,6950.36116027832,2200,2,1.44375,21681.484298706055,4150,0,1.44375,8627.916229248047,2075,2,1.44375,8168.536376953125,2075,2,1.44375,8097.08447265625,4150,0,1.44375,30148.169036865234,3700,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,4341,2200,4326,2200,20.2020206451416,7.070706844329834,17.171716690063477,23.76237678527832,30.30303192138672,30.000001907348633,45,8,17.171716690063477,16,15.15151596069336,17,9.90099048614502,80.8080825805664,17.171716690063477,39.60396194458008,16665837568,4294963200,2236121088,0
999,1745248866160,16596.95880126953,2050,2,1.4,8794.75619506836,2050,2,1.4,7183.344650268555,4100,0,1.4,6956.019912719727,4100,0,1.4,21694.68199157715,4100,0,1.4,8629.068328857422,2050,2,1.4,8169.887649536133,2050,2,1.4,8098.553405761719,2050,2,1.4,30189.922271728516,3700,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,4341,2200,4326,2200,3,5.0505051612854,17,2.0202019214630127,100,5.0505051612854,5,6.060606002807617,17,47,6.93069314956665,7,8.08080768585205,0,6.93069314956665,5,16665837568,4294963200,2492874752,0
999,1745248867160,16598.1134185791,2062.5,2,1.425,8796.191986083984,2062.5,2,1.425,7185.256851196289,4125,0,1.425,6959.745574951172,4125,0,1.425,21708.10188293457,4125,0,1.41875,8631.066055297852,2062.5,2,1.41875,8171.774429321289,2062.5,2,1.41875,8100.841018676758,4125,0,1.41875,30232.075225830078,3700,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,4341,2200,4326,2200,9.090909004211426,8.91089153289795,11.88118839263916,0,99,11.88118839263916,8,16.831682205200195,15.000000953674316,29.702970504760742,9,13,13,4,9,12.121212005615234,16665837568,4294963200,2576740352,0
999,1745248868160,16606.023468017578,4125,0,1.40625,8805.355529785156,2750,2,1.40625,7193.644668579102,4125,0,1.40625,6967.680816650391,2062.5,2,1.40625,21716.25978088379,4125,0,1.40625,8640.931335449219,2750,2,1.40625,8179.057968139648,4125,0,1.40625,8108.059951782227,4125,0,1.40625,30308.89242553711,3700,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,4341,2200,4326,2200,63.6363639831543,70.70706939697266,85.71428680419922,8,86,18.18181800842285,17.171716690063477,58.999996185302734,11.224489212036133,86.86868286132813,24.24242401123047,87.8787841796875,85.85858154296875,38,36,77,16665837568,4294963200,2771824640,0
999,1745248869160,16608.913528442383,4125,0,1.4312500000000001,8809.771179199219,2062.5,2,1.4312500000000001,7200.801696777344,2062.5,2,1.4312500000000001,6969.06867980957,2062.5,2,1.4312500000000001,21726.986724853516,4125,0,1.4312500000000001,8642.276977539063,2062.5,2,1.4312500000000001,8180.805084228516,2062.5,2,1.4312500000000001,8109.639511108398,2062.5,2,1.4312500000000001,30354.540817260742,3700,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,4341,2200,4326,2200,1.0101009607315063,24,42.574256896972656,1.0101009607315063,1,2.0202019214630127,4,3.0612244606018066,16,9.090909004211426,70.29703521728516,6,5.0505051612854,5.0505051612854,25.25252342224121,12.121212005615234,16665837568,4294963200,2772340736,0
998,1745248870162,16614.483139038086,2100,2,1.44375,8809.921524047852,2800,2,1.44375,7205.227203369141,4200,0,1.44375,6969.210311889648,2100,2,1.44375,21737.4249420166,2100,2,1.44375,8642.588287353516,2100,2,1.44375,8181.514205932617,2100,2,1.44375,8115.30989074707,4200,0,1.44375,30395.948669433594,3700,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,4341,2200,4326,2200,2,1.9801980257034302,14.141413688659668,1.9801980257034302,2,2.97029709815979,3,2.97029709815979,29.702970504760742,0,68,3,2,33,45,0,16665837568,4294963200,2775953408,0
999,1745248871161,16616.10758972168,3000,2,1.4375,8810.204986572266,3000,2,1.4375,7206.108642578125,2133.333333333333,2,1.4375,6969.440155029297,2133.333333333333,2,1.4375,21745.963287353516,4125,0,1.4375,8642.947723388672,2062.5,2,1.4375,8181.952819824219,2062.5,2,1.4375,8123.050552368164,4125,0,1.4375,30429.141235351563,3700,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,4341,2200,4326,2200,3,3,3.0303030014038086,3,3,3,3,2.0202019214630127,6.060606002807617,0,55,3,3.9603960514068604,47,13,0,16665837568,4294963200,2775953408,0
1000,1745248872161,16616.895278930664,4150,2,1.4375,8810.425994873047,2766.666666666667,2,1.4312500000000001,7206.353210449219,2075,2,1.4312500000000001,6969.696502685547,2075,2,1.4312500000000001,21761.199478149414,4150,0,1.4312500000000001,8643.330093383789,2075,2,1.4312500000000001,8182.336318969727,2075,2,1.4312500000000001,8123.9451904296875,2075,2,1.4312500000000001,30460.308471679688,3700,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,4341,2200,4326,2200,1.0101009607315063,2.0202019214630127,2,2.0202019214630127,2,2,2,2.0202019214630127,2,2,100,2,2.0202019214630127,0,5,0,16665837568,4294963200,2775945216,0
