Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744798990208,43985.40165710449,2133.333333333333,2,0.84375,23248.539474487305,3200,1,0.84375,23630.383865356445,2133.333333333333,2,0.84375,23444.04608154297,2133.333333333333,2,0.84375,42230.45234680176,2200,2,0.84375,26275.925003051758,2200,2,0.84375,26160.9832611084,2200,2,0.84375,25798.224212646484,2200,2,0.84375,11730.39126586914,2195,2195,2195,2195,2129,2128,3193,2128,2118,2030,2126,2200,3054,2200,2069,2675,3.3333334922790527,10,6.6666669845581055,12,9.67741870880127,3.4482758045196533,10,3.3333334922790527,17.241378784179688,9.67741870880127,3.3333334922790527,9.67741870880127,6.896551609039307,6.45161247253418,6.6666669845581055,6.6666669845581055,16666599424,4294963200,2526851072,716701696
999,1744798990208,43985.4020690918,2133.333333333333,2,0.9625,23248.542373657227,3200,1,0.9625,23630.384323120117,2133.333333333333,2,0.9625,23444.047088623047,2133.333333333333,2,0.9625,42230.45297241211,2200,2,0.9625,26275.9256439209,2200,2,0.9625,26160.987915039063,2200,2,0.9625,25798.224868774414,2200,2,0.9625,11730.427169799805,2195,2195,2195,2195,2129,2128,3193,2128,2118,2030,2126,2200,3054,2200,2069,2675,3.3333334922790527,10,6.6666669845581055,12,9.67741870880127,3.4482758045196533,10,3.3333334922790527,17.241378784179688,9.67741870880127,3.3333334922790527,9.67741870880127,6.896551609039307,6.45161247253418,6.6666669845581055,6.6666669845581055,16666599424,4294963200,2526851072,716701696
999,1744798991208,43992.814025878906,4100,0,1.34375,23258.35433959961,4100,0,1.34375,23638.52098083496,4100,0,1.34375,23453.220321655273,4100,0,1.34375,42237.31642150879,4100,0,1.34375,26283.56330871582,4100,0,1.34375,26168.21794128418,2050,2,1.34375,25806.67738342285,2733.333333333333,2,1.34375,11806.070007324219,2195,2195,2195,2195,2129,2128,3193,2128,2118,2030,2126,2200,3054,2200,2069,2675,74.74747467041016,71.71717071533203,89,42.85714340209961,4.081632614135742,7,78.21781921386719,84.15841674804688,16.32653045654297,64.6464614868164,79,87.8787841796875,29.702970504760742,74,24,28.571430206298828,16666599424,4294963200,2947067904,716701696
999,1744798992208,43994.61544799805,2100,2,1.41875,23261.068252563477,2800,2,1.41875,23640.361053466797,2100,2,1.41875,23467.3583984375,4200,0,1.41875,42240.25178527832,2200,2,1.41875,26285.99234008789,2200,2,1.41875,26169.8104095459,2200,2,1.41875,25807.654983520508,2200,2,1.4125,11849.209457397461,2195,2195,2195,2195,2129,2128,3193,2128,2118,2030,2126,2200,3054,2200,2069,2675,10.204081535339355,17.171716690063477,13,99,2,4,4.040403842926025,2.0202019214630127,3,2.0202019214630127,20.2020206451416,11,4,0,5.0505051612854,5.0505051612854,16666599424,4294963200,3036119040,716701696
999,1744798993208,43996.553970336914,2087.5,2,1.4,23263.562576293945,2087.5,2,1.4,23642.249313354492,2087.5,2,1.4,23481.436767578125,4175,0,1.4,42243.51875305176,2087.5,2,1.4,26288.292602539063,2087.5,2,1.4,26172.406829833984,4175,0,1.4,25809.720733642578,2087.5,2,1.4,11894.088119506836,2195,2195,2195,2195,2129,2128,3193,2128,2118,2030,2126,2200,3054,2200,2069,2675,7.142857551574707,13.13131332397461,11.111111640930176,100,4.040403842926025,9.375,2.040816307067871,6.25,6.122448921203613,6,24.24242401123047,8,21.212121963500977,7.070706844329834,8.163265228271484,6.122448921203613,16666599424,4294963200,3116142592,716701696
999,1744798994208,43997.56968688965,2100,2,1.4312500000000001,23264.811737060547,2800,2,1.41875,23643.58546447754,2100,2,1.41875,23495.770095825195,4200,0,1.41875,42245.1300201416,2200,2,1.41875,26290.39729309082,2200,2,1.41875,26173.790298461914,2200,2,1.41875,25811.186752319336,2200,2,1.41875,11933.269409179688,2195,2195,2195,2195,2129,2128,3193,2128,2118,2030,2126,2200,3054,2200,2069,2675,3.0612244606018066,4,4.040403842926025,99,6.060606002807617,3,3,1.0101009607315063,3.0303030014038086,3.0303030014038086,5,10.204081535339355,3,3,2.0202019214630127,2.0202019214630127,16666599424,4294963200,3122388992,716701696
999,1744798995209,43999.28526306152,2075,2,1.4375,23266.13868713379,4150,0,1.4375,23645.141189575195,2075,2,1.4375,23507.178100585938,2075,2,1.4375,42250.22283935547,4150,0,1.4375,26292.556427001953,2075,2,1.4375,26175.651977539063,2075,2,1.4375,25813.332489013672,2075,2,1.4375,11975.714126586914,2195,2195,2195,2195,2129,2128,3193,2128,2118,2030,2126,2200,3054,2200,2069,2675,8.08080768585205,5,4.95049524307251,77,1,1.0204081535339355,7,0,9,6,35,13,5.0505051612854,10.1010103225708,6.060606002807617,2.040816307067871,16666599424,4294963200,3124973568,716701696
999,1744798996209,44000.53520202637,2133.333333333333,2,1.40625,23266.70719909668,3200,1,1.40625,23648.60139465332,2133.333333333333,2,1.40625,23508.412551879883,2133.333333333333,2,1.40625,42264.00912475586,4125,0,1.40625,26293.128051757813,2062.5,2,1.40625,26177.250030517578,2062.5,2,1.40625,25814.785903930664,2062.5,2,1.40625,12014.070831298828,2195,2195,2195,2195,2129,2128,3193,2128,2118,2030,2126,2200,3054,2200,2069,2675,2.0618555545806885,3,9.090909004211426,1.0204081535339355,0,1.9801980257034302,8,2.0202019214630127,34,3,99.00990295410156,2,0.9900990128517151,5,3,2,16666599424,4294963200,3096756224,716701696
999,1744798997209,44003.352951049805,2050,2,1.40625,23271.61883544922,4100,0,1.40625,23651.062454223633,2050,2,1.40625,23510.468322753906,2050,2,1.40625,42277.82345581055,4100,0,1.40625,26294.640838623047,2050,2,1.40625,26179.41014099121,2050,2,1.39375,25816.533615112305,2050,2,1.39375,12060.542465209961,2195,2195,2195,2195,2129,2128,3193,2128,2118,2030,2126,2200,3054,2200,2069,2675,17.171716690063477,38.38383865356445,6.122448921203613,7.216494560241699,5.0505051612854,5.94059419631958,10,3,9.782608985900879,6.25,99,4.040403842926025,10,9,12.121212005615234,5.2083330154418945,16666599424,4294963200,3071315968,716701696
999,1744798998209,44004.71745300293,2200,2,1.41875,23274.088012695313,2200,2,1.41875,23652.675170898438,2200,2,1.41875,23511.608642578125,2200,2,1.41875,42280.39907836914,2100,2,1.41875,26307.548583984375,4200,0,1.41875,26180.87760925293,2100,2,1.41875,25817.878616333008,2100,2,1.41875,12100.342178344727,2195,2195,2195,2195,2129,2128,3193,2128,2118,2030,2126,2200,3054,2200,2069,2675,2.040816307067871,14.141413688659668,10.1010103225708,3.0303030014038086,2,2.0202019214630127,5.0505051612854,2.0202019214630127,2.040816307067871,4.123711109161377,14,91,1.0101009607315063,1.0101009607315063,4.1666669845581055,4.081632614135742,16666599424,4294963200,3083591680,716701696
