Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744797529278,40195.7204284668,2162.5,2,1.45625,22054.043914794922,4325,0,1.45625,22285.673904418945,2162.5,2,1.45625,21902.37274169922,2162.5,2,1.45625,38844.95779418945,2200,2,1.45625,24559.69532775879,2200,2,1.45625,24683.269744873047,2200,2,1.45625,23956.293991088867,2200,2,1.45625,44343.438064575195,2131,3904,2026,2112,2195,2195,2194,2195,2126,2155,2195,2195,2168,2195,2162,3473,6.45161247253418,9.67741870880127,6.45161247253418,6.45161247253418,6.45161247253418,6.45161247253418,6.45161247253418,9.375,3.3333334922790527,6.45161247253418,0,13.333333969116211,6.45161247253418,3.3333334922790527,3.3333334922790527,0,16666599424,4294963200,2513256448,717488128
999,1744797529278,40195.72166442871,2162.5,2,1.4625000000000001,22054.045196533203,4325,0,1.4625000000000001,22285.674743652344,2162.5,2,1.4625000000000001,21902.38050842285,2162.5,2,1.4625000000000001,38844.95863342285,2200,2,1.4625000000000001,24559.708099365234,2200,2,1.4625000000000001,24683.270538330078,2200,2,1.4625000000000001,23956.296325683594,2200,2,1.4625000000000001,44343.49659729004,2131,3904,2026,2112,2195,2195,2194,2195,2126,2155,2195,2195,2168,2195,2162,3473,6.45161247253418,9.67741870880127,6.45161247253418,6.45161247253418,6.45161247253418,6.45161247253418,6.45161247253418,9.375,3.3333334922790527,6.45161247253418,0,13.333333969116211,6.45161247253418,3.3333334922790527,3.3333334922790527,0,16666599424,4294963200,2513256448,717488128
999,1744797530278,40199.28434753418,2133.333333333333,2,1.44375,22058.92384338379,3200,1,1.44375,22291.059295654297,2133.333333333333,2,1.44375,21906.864471435547,2133.333333333333,2,1.44375,38850.305114746094,4175,0,1.44375,24572.10317993164,4175,0,1.44375,24688.38981628418,4175,0,1.44375,23960.4979095459,2100,2,1.4375,44402.3596496582,2131,3904,2026,2112,2195,2195,2194,2195,2126,2155,2195,2195,2168,2195,2162,3473,32.65306091308594,47,40.4040412902832,35.6435661315918,50.50504684448242,7,4.95049524307251,12.121212005615234,34,13,7,98.98989868164063,52,31,10.1010103225708,8.08080768585205,16666599424,4294963200,2987888640,717488128
999,1744797531278,40210.39598083496,4225,0,1.425,22060.793533325195,2112.5,2,1.425,22292.996032714844,2112.5,2,1.425,21908.756637573242,2112.5,2,1.425,38852.4324798584,2112.5,2,1.425,24575.724212646484,2112.5,2,1.425,24691.71694946289,2112.5,2,1.41875,23962.867614746094,4225,0,1.41875,44445.68760681152,2131,3904,2026,2112,2195,2195,2194,2195,2126,2155,2195,2195,2168,2195,2162,3473,24,10,13.13131332397461,8.08080768585205,17,12,3.0612244606018066,19.191919326782227,10.1010103225708,10.1010103225708,13,24.75247573852539,25.74257469177246,12,72.27722930908203,14.141413688659668,16666599424,4294963200,3404627968,717488128
999,1744797532278,40223.284088134766,4300,0,1.44375,22061.734344482422,2150,2,1.44375,22293.68894958496,2150,2,1.44375,21909.624725341797,2150,2,1.4375,38853.40235900879,2200,2,1.4375,24576.740600585938,2200,2,1.4375,24692.71208190918,2200,2,1.4375,23964.322143554688,2200,2,1.4375,44479.76239013672,2131,3904,2026,2112,2195,2195,2194,2195,2126,2155,2195,2195,2168,2195,2162,3473,5,1.0204081535339355,4.95049524307251,4.040403842926025,6,5,2.97029709815979,8,5,4.040403842926025,2,4.040403842926025,2.040816307067871,4,99,5.0505051612854,16666599424,4294963200,4083036160,717488128
999,1744797533278,40236.63691711426,4250,0,1.41875,22062.31703186035,2833.333333333333,2,1.4312500000000001,22294.23780822754,2125,2,1.4312500000000001,21910.03887939453,2125,2,1.4312500000000001,38853.974868774414,2200,2,1.4312500000000001,24577.362716674805,2200,2,1.4312500000000001,24694.17059326172,2200,2,1.4312500000000001,23965.614791870117,2200,2,1.4312500000000001,44512.87055969238,2131,3904,2026,2112,2195,2195,2194,2195,2126,2155,2195,2195,2168,2195,2162,3473,2.0202019214630127,2,2,3,2.0202019214630127,2.0202019214630127,3.0303030014038086,3,5,3,1.0101009607315063,4.95049524307251,4.95049524307251,2.0202019214630127,100,3.0303030014038086,16666599424,4294963200,4322246656,717488128
999,1744797534279,40250.495864868164,4225,0,1.41875,22062.836715698242,2816.666666666667,2,1.41875,22294.59162902832,2112.5,2,1.41875,21910.495407104492,2112.5,2,1.41875,38854.59169006348,2200,2,1.41875,24578.197509765625,2200,2,1.41875,24695.61585998535,2200,2,1.41875,23966.78663635254,2200,2,1.41875,44546.686111450195,2131,3904,2026,2112,2195,2195,2194,2195,2126,2155,2195,2195,2168,2195,2162,3473,3,1,3,2,3,3,2.97029709815979,3,2,3.9603960514068604,4,4.040403842926025,3.0612244606018066,1.9801980257034302,100,3,16666599424,4294963200,4322377728,717488128
999,1744797535279,40264.24125671387,4250,0,1.4375,22063.180740356445,4250,0,1.4375,22294.862533569336,2125,2,1.4375,21910.779174804688,2125,2,1.4375,38854.820877075195,2200,2,1.4375,24579.786010742188,2200,2,1.4375,24696.94694519043,2200,2,1.4375,23968.014862060547,2200,2,1.4375,44580.1882019043,2131,3904,2026,2112,2195,2195,2194,2195,2126,2155,2195,2195,2168,2195,2162,3473,1.0101009607315063,1,1.0101009607315063,2,1,5.94059419631958,2.0202019214630127,1,2,2.0202019214630127,1.9801980257034302,5,2.97029709815979,1.0101009607315063,100,1.0101009607315063,16666599424,4294963200,4311003136,717488128
999,1744797536279,40277.81622314453,4275,0,1.4312500000000001,22063.541061401367,2850,2,1.4312500000000001,22295.17645263672,2137.5,2,1.4312500000000001,21911.076278686523,2137.5,2,1.4312500000000001,38855.113357543945,2200,2,1.44375,24580.696319580078,2200,2,1.44375,24698.260787963867,2200,2,1.44375,23969.23599243164,2200,2,1.44375,44612.81474304199,2131,3904,2026,2112,2195,2195,2194,2195,2126,2155,2195,2195,2168,2195,2162,3473,1,1,2,1,2,2,3,1,1.0101009607315063,2,1.0101009607315063,4,2,1.9801980257034302,100,2.0202019214630127,16666599424,4294963200,4310904832,717488128
999,1744797537279,40291.56005859375,4250,0,1.44375,22064.15167236328,2125,2,1.44375,22295.651092529297,2125,2,1.44375,21911.543975830078,2125,2,1.44375,38855.79586791992,2200,2,1.44375,24581.429260253906,2200,2,1.44375,24699.628692626953,2200,2,1.44375,23970.510635375977,2200,2,1.44375,44646.64392089844,2131,3904,2026,2112,2195,2195,2194,2195,2126,2155,2195,2195,2168,2195,2162,3473,3,0,3,3,4,2,3.0303030014038086,3,4,4.95049524307251,3,5,3,0,100,3.0303030014038086,16666599424,4294963200,4310646784,717488128
