Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1744803525963,3052.0472259521484,2200,2,0.85,1221.1243591308594,2200,2,0.85,1692.739730834961,2200,2,0.85,852.613525390625,2200,2,0.85,3180.211410522461,2200,2,0.85,1281.4928741455078,2200,2,0.85,1059.8256378173828,2200,2,0.85,1120.5819244384766,2200,2,0.84375,29620.89370727539,3176,2124,2121,2129,2163,2200,2183,2191,2118,2128,1977,2194,2195,2193,2992,2129,12.121212005615234,3.125,3.125,3.125,3.125,0,0,0,3.125,0,3.125,3.22580623626709,3.125,3.125,0,3.22580623626709,16665841664,4294963200,1082974208,0
999,1744803525963,3052.050491333008,2200,2,0.85,1221.1245880126953,2200,2,0.85,1692.7398834228516,2200,2,0.85,852.6136779785156,2200,2,0.85,3180.2116088867188,2200,2,0.85,1281.4929809570313,2200,2,0.85,1059.8260345458984,2200,2,0.85,1120.58203125,2200,2,0.85,29620.915756225586,3176,2124,2121,2129,2163,2200,2183,2191,2118,2128,1977,2194,2195,2193,2992,2129,12.121212005615234,3.125,3.125,3.125,3.125,0,0,0,3.125,0,3.125,3.22580623626709,3.125,3.125,0,3.22580623626709,16665841664,4294963200,1082974208,0
999,1744803526963,3059.845169067383,3975,0,1.30625,1231.0079498291016,3975,0,1.30625,1699.291030883789,3975,0,1.30625,859.0002899169922,3975,0,1.30625,3187.083984375,3975,0,1.30625,1288.1968231201172,3975,0,1.30625,1065.8189849853516,3975,0,1.30625,1127.743896484375,3975,0,1.30625,29689.873657226563,3176,2124,2121,2129,2163,2200,2183,2191,2118,2128,1977,2194,2195,2193,2992,2129,67.32672882080078,89.1089096069336,75,65,5,78.78787994384766,54.455448150634766,3,6.122448921203613,20.2020206451416,80.8080825805664,4,21,82.17821502685547,82.17821502685547,10.891088485717773,16665841664,4294963200,1662197760,0
1000,1744803527963,3062.3601684570313,2112.5,2,1.4312500000000001,1243.1951141357422,4225,0,1.4312500000000001,1700.4440460205078,2112.5,2,1.4312500000000001,861.5139312744141,2112.5,2,1.4312500000000001,3188.6932373046875,2200,2,1.4312500000000001,1290.1657409667969,2200,2,1.4312500000000001,1069.537826538086,2200,2,1.4312500000000001,1133.6615142822266,2200,2,1.4312500000000001,29736.62322998047,3176,2124,2121,2129,2163,2200,2183,2191,2118,2128,1977,2194,2195,2193,2992,2129,7.142857551574707,4.081632614135742,7,20.79207992553711,5,4,32.3232307434082,0.9900990128517151,1.9801980257034302,3.9603960514068604,7,9.090909004211426,0,51.51515197753906,17,100,16665841664,4294963200,1665810432,0
1000,1744803528964,3063.0553588867188,2100,2,1.44375,1256.067138671875,4200,0,1.44375,1700.6601257324219,2100,2,1.44375,861.6678771972656,2100,2,1.44375,3189.9194946289063,4200,0,1.44375,1290.5731201171875,2100,2,1.4375,1069.5994720458984,2100,2,1.4375,1134.557846069336,2100,2,1.4375,29768.337371826172,3176,2124,2121,2129,2163,2200,2183,2191,2118,2128,1977,2194,2195,2193,2992,2129,1,1,1,0,2,0,0,1.0101009607315063,0,0,8,2.97029709815979,0,0,6,99,16665841664,4294963200,1682067456,0
999,1744803529964,3063.136749267578,2112.5,2,1.425,1268.9213256835938,4225,0,1.425,1700.7389068603516,2112.5,2,1.425,861.8101196289063,2112.5,2,1.425,3191.5498809814453,2200,2,1.425,1290.7379302978516,2200,2,1.425,1069.6381378173828,2200,2,1.425,1134.6883087158203,2200,2,1.425,29798.652709960938,3176,2124,2121,2129,2163,2200,2183,2191,2118,2128,1977,2194,2195,2193,2992,2129,0,1.9801980257034302,0,0,1,0,0,0,0,0,8,0,0,0,0,100,16665841664,4294963200,1690324992,0
1000,1744803530964,3063.3269805908203,2125,2,1.45,1281.6080627441406,4250,0,1.45,1700.8164672851563,2125,2,1.45,861.9302368164063,2125,2,1.45,3192.264633178711,2200,2,1.45,1290.8597717285156,2200,2,1.45,1069.6855163574219,2200,2,1.45,1134.849105834961,2200,2,1.45,29827.999710083008,3176,2124,2121,2129,2163,2200,2183,2191,2118,2128,1977,2194,2195,2193,2992,2129,0.9900990128517151,0.9900990128517151,0,0,0,0,0,1.9801980257034302,0,1,4.040403842926025,0,0,0,0,99,16665841664,4294963200,1690324992,0
999,1744803531964,3063.4778594970703,2100,2,1.4375,1294.1618347167969,4200,0,1.4375,1700.9200134277344,2100,2,1.4375,862.0510406494141,2100,2,1.4375,3194.6329193115234,4200,0,1.4375,1290.9744567871094,2100,2,1.4375,1069.9852447509766,2100,2,1.4375,1134.9548950195313,2100,2,1.4375,29858.874801635742,3176,2124,2121,2129,2163,2200,2183,2191,2118,2128,1977,2194,2195,2193,2992,2129,0,0,0,0,0,0,2,0,0,0,19,0.9900990128517151,0,0,0,100,16665841664,4294963200,1680752640,0
999,1744803532965,3063.6568756103516,2112.5,2,1.425,1306.7581329345703,4225,0,1.425,1700.9974822998047,2112.5,2,1.425,862.1805877685547,2112.5,2,1.425,3195.7887573242188,2200,2,1.425,1291.083236694336,2200,2,1.425,1070.0552368164063,2200,2,1.425,1135.0758056640625,2200,2,1.425,29888.442413330078,3176,2124,2121,2129,2163,2200,2183,2191,2118,2128,1977,2194,2195,2193,2992,2129,1.9801980257034302,0,0,0,1,0,1,0,0.9900990128517151,1,8,0,0,0,0,98.01980590820313,16665841664,4294963200,1689010176,0
999,1744803533965,3063.805953979492,2112.5,2,1.4375,1319.437515258789,4225,0,1.4375,1701.0831909179688,2112.5,2,1.4375,862.2869262695313,2112.5,2,1.4375,3196.401580810547,2200,2,1.4375,1291.1688995361328,2200,2,1.4375,1070.1343383789063,2200,2,1.4375,1135.1620788574219,2200,2,1.4375,29917.697708129883,3176,2124,2121,2129,2163,2200,2183,2191,2118,2128,1977,2194,2195,2193,2992,2129,1,1,0,0,0.9900990128517151,0,0,1,0,0.9900990128517151,4,0,0,0,0,100,16665841664,4294963200,1683808256,0
999,1744803534965,3063.9191284179688,2125,2,1.4375,1332.1230773925781,4250,0,1.4375,1701.152114868164,2125,2,1.4375,862.3841400146484,2125,2,1.4375,3196.5625915527344,2200,2,1.4375,1291.2501678466797,2200,2,1.4375,1070.2677459716797,2200,2,1.4625000000000001,1135.2552337646484,2200,2,1.4625000000000001,29946.61895751953,3176,2124,2121,2129,2163,2200,2183,2191,2118,2128,1977,2194,2195,2193,2992,2129,0,0,0,0,0,0,0,0,0,0,1,0.9900990128517151,1,0,0,100,16665841664,4294963200,1692065792,0
999,1744803535965,3064.0201263427734,2112.5,2,1.4312500000000001,1344.7346649169922,4225,0,1.4312500000000001,1701.2196197509766,2112.5,2,1.425,862.5204162597656,2112.5,2,1.425,3196.7042388916016,2200,2,1.425,1291.362533569336,2200,2,1.425,1070.3219604492188,2200,2,1.425,1135.3521728515625,2200,2,1.425,29975.284713745117,3176,2124,2121,2129,2163,2200,2183,2191,2118,2128,1977,2194,2195,2193,2992,2129,0.9900990128517151,0,0,0,0,0,0,0,0,1,0.9900990128517151,0,0,0,0,100,16665841664,4294963200,1705742336,0
999,1744803536965,3064.156524658203,2075,2,1.425,1357.329574584961,4150,0,1.425,1701.3417663574219,2075,2,1.425,862.6365356445313,2075,2,1.425,3197.6090393066406,4150,0,1.425,1291.4590301513672,2075,2,1.425,1070.4681701660156,2075,2,1.425,1135.447509765625,2075,2,1.425,30004.934127807617,3176,2124,2121,2129,2163,2200,2183,2191,2118,2128,1977,2194,2195,2193,2992,2129,0,0,0,0,0,0,0,0.9900990128517151,0,0,8.08080768585205,0,0,0,0,99.00990295410156,16665841664,4294963200,1703260160,0
999,1744803537965,3064.2666931152344,2112.5,2,1.425,1369.7898712158203,4225,0,1.425,1701.4046478271484,2112.5,2,1.425,862.7890319824219,2112.5,2,1.425,3198.5157165527344,3000,2,1.425,1291.5023345947266,2000,2,1.425,1070.5883178710938,2000,2,1.425,1135.5748901367188,2000,2,1.425,30034.122329711914,3176,2124,2121,2129,2163,2200,2183,2191,2118,2128,1977,2194,2195,2193,2992,2129,0,0,0,1,0.9900990128517151,0,0,0,0.9900990128517151,0,4,0,1,0,0,99,16665841664,4294963200,1701089280,0
